,Unnamed: 0,Unnamed: 0.1,title,FILM_runtime,FILM_stars,FILM_directors,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres.1,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_weekly_gross,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_release_year,FILM_mpaa_rating_number,GENRE_1,GENRE_2,GENRE_3,GENRE_4,GENRE_5,GENRE_Action,GENRE_Adventure,GENRE_Animation,GENRE_Biography,GENRE_Comedy,GENRE_Crime,GENRE_Documentary,GENRE_Drama,GENRE_Family,GENRE_Fantasy,GENRE_Horror,GENRE_Music,GENRE_Musical,GENRE_Mystery,GENRE_Romance,GENRE_Sport,GENRE_Thriller,GENRE_War,GENRE_Western,FILM_CPI,BWAY_CPI,FILM_budget_adj,FILM_domestic_gross_adj,FILM_worldwide_gross_adj,BWAY_total_weekly_gross_adj,BWAY_average_weekly_gross_adj
79,96,21136,Breakfast at Tiffany's,115.0,"['Audrey Hepburn', 'George Peppard', 'Patricia Neal']",['Blake Edwards'],Breakfast at Tiffany's,0.0,"['actor:', '{', '@type: Person', 'url: /name/nm1792711/', 'name: Bill Becker', '}', '{', '@type: Person', 'url: /name/nm0007222/', 'name: Paul Douglas', '}', '{', '@type: Person', 'url: /name/nm1812705/', 'name: Belle Flower', '}', '{', '@type: Person', 'url: /name/nm0384050/', 'name: Arthur Hill', '}']",2500000.0,13040004.716627516,357750.0,0,1961-10-06,tt0054698,Breakfast at Tiffany's,115,"Comedy,Drama,Romance",2475937.0,6179280.0,38,17,2013-03-10,353705.2857142857,66.4042857142857,0.6412285714285714,200.0,1079.0,1961-01-01,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,232.53099999999998,83333.33333333333,434666.82388758386,11925.0,10647.771694956802,1521.1102421366859
80,97,25523,Breaking the Code,75.0,"['Derek Jacobi', 'Alun Armstrong', 'Blake Ritson']",['Herbert Wise'],A kód feltörése,0.0,"['Comedy', 'Drama', 'Romance']",15555506.259983314,30000316.93052691,56639737.12855493,0,1997-02-02,tt0115749,Breaking the Code,75,"Biography,Drama",4186299.0,0.0,169,9,1987-11-08,182013.0,25.29695652173913,0.6990478260869566,,1324.2608695652175,1997-01-01,0.0,Comedy,Drama,Romance,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,160.0,115.4,97221.91412489572,187501.98081579318,353998.35705346835,36276.42114384749,1577.2357019064125
81,98,20340,Brief Encounter,74.0,"['Richard Burton', 'Sophia Loren', 'Jack Hedley']",['Alan Bridges'],Hallmark Hall of Fame: Brief Encounter (#24.1),0.0,"['Biography', 'Drama']",15087589.82379081,34232572.94110061,59818366.568167605,0,1974-11-12,tt0037558,Brief Encounter,86,"Drama,Romance",5210372.0,14657518.0,111,21,2010-09-12,306492.4705882353,55.32470588235294,0.7084588235294117,,1002.1176470588236,1974-01-01,0.0,Biography,Drama,,,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51.9,218.71099999999998,290705.0062387439,659587.1472273722,1152569.6833943662,23823.090745321453,1401.3582791365561
82,99,26957,Bright Star,119.0,"['Abbie Cornish', 'Ben Whishaw', 'Paul Schneider']",['Jane Campion'],Bright Star,1.0,"['contentRating: Not Rated', 'actor:', '{', '@type: Person', 'url: /name/nm0000009/', 'name: Richard Burton', '}', '{', '@type: Person', 'url: /name/nm0000047/', 'name: Sophia Loren', '}', '{', '@type: Person', 'url: /name/nm0373324/', 'name: Jack Hedley', '}', '{', '@type: Person', 'url: /name/nm0494863/', 'name: Rosemary Leach', '}']",8500000.0,4444637.0,14374652.0,2,2009-10-09,tt0810784,Bright Star,119,"Biography,Drama,Romance",7474492.000000001,15880152.0,109,30,2016-02-28,415249.5555555556,66.97444444444444,0.7664999999999998,248.0,1046.0,2009-01-01,2.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.33,245.96400000000003,39291.82267831553,20545.63398511533,66447.79734664633,30388.560927615425,1688.2533848675237
83,100,24793,Brighton Beach Memoirs,108.0,"['Blythe Danner', 'Jonathan Silverman', 'Stacey Glick']",['Gene Saks'],Neil Simon's Brighton Beach Memoirs,0.0,"['Biography', 'Drama', 'Romance']",18000000.0,11957943.0,11957943.0,3,1986-12-25,tt0090774,Brighton Beach Memoirs,108,Comedy,5423483.0,3634353.0,401,25,1985-06-09,100434.87037037036,19.665370370370365,0.483122222222222,148.5,1352.9444444444443,1986-01-01,3.0,Biography,Drama,Romance,,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,111.2,107.8,161870.5035971223,107535.45863309353,107535.45863309353,50310.602968460116,931.6778327492613
84,101,26346,Bring It On,98.0,"['Kirsten Dunst', 'Eliza Dushku', 'Jesse Bradford']",['Peyton Reed'],Cheer Fever,0.0,"['contentRating: PG-13', 'actor:', '{', '@type: Person', 'url: /name/nm0001100/', 'name: Blythe Danner', '}', '{', '@type: Person', 'url: /name/nm0001738/', 'name: Jonathan Silverman', '}', '{', '@type: Person', 'url: /name/nm0322778/', 'name: Stacey Glick', '}', '{', '@type: Person', 'url: /name/nm0910610/', 'name: Lisa Waltz', '}']",11000000.0,68379000.0,90449929.0,3,2000-08-25,tt0204946,Bring It On,98,"Comedy,Romance,Sport",11410177.0,27561576.0,171,21,2012-07-15,456407.08,62.5004,0.7112959999999999,207.6,1330.96,2000-01-01,3.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.7,230.37900000000002,63327.57628094416,393661.48531951645,520724.97985031665,49527.851930948564,1981.1140772379426
85,102,19549,Broadway,120.0,"['Ed Sullivan', 'Jack Cassidy', 'Julie Harris']","['Ron Field', 'Dan F. Smith']",Ed Sullivan's Broadway,0.0,"['Comedy', 'Romance', 'Sport']",15320069.357825052,30580055.67413076,55783064.54433405,0,1973-11-01,tt0019725,Broadway,104,"Crime,Music,Romance",43747.0,0.0,4,3,1987-06-28,43747.0,14.25,0.40700000000000003,,1078.0,1973-01-01,0.0,Comedy,Romance,Sport,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,45.9,113.8,333770.5742445545,666232.1497631974,1215317.310334075,384.4200351493849,384.4200351493849
86,103,25280,Broadway Bound,89.0,"['Anne Bancroft', 'Hume Cronyn', 'Corey Parker']",['Paul Bogart'],Neil Simon's Broadway Bound,1.0,"['actor:', '{', '@type: Person', 'url: /name/nm0838047/', 'name: Ed Sullivan', '}', '{', '@type: Person', 'url: /name/nm0144197/', 'name: Jack Cassidy', '}', '{', '@type: Person', 'url: /name/nm0364915/', 'name: Julie Harris', '}', '{', '@type: Person', 'url: /name/nm0414279/', 'name: Lou Jacobi', '}']",16226443.463999052,28348204.57536001,59081043.27581975,0,1992-03-23,tt0102521,Broadway Bound,89,"Comedy,Drama",15991551.0,0.0,756,12,1986-11-30,166578.65625,25.45489583333333,0.6721739583333332,,1186.0,1992-01-01,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.5,110.5,116318.59113977815,203212.9360240861,423520.02348257886,144719.9185520362,1507.4991515837105
87,105,6198,Brooklyn,117.0,"['Saoirse Ronan', 'Emory Cohen', 'Domhnall Gleeson']",['John Crowley'],Brooklyn,3.0,"['Animation', 'Comedy', 'Drama', 'Fantasy', 'Musical', 'Romance']",11000000.0,38322743.0,62076141.0,3,2015-11-25,tt1458730,The Gentle Art of Making Friends,80,"Comedy,Crime",10108600.0,27950693.0,284,27,2004-09-26,252715.0,51.08874999999999,0.6068325000000001,96.0,1044.0,2015-01-01,3.0,Animation,Comedy,Drama,Fantasy,Musical,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,244.547,190.9,44981.12837205118,156709.11113201143,253841.3515602318,52952.33106338397,1323.8082765845993
88,106,25570,Buddy,105.32993660232809,"['Babu Antony', 'Arun', 'Bhama']",['Raaj Prabavathy Menon'],Not found,0.0,"['Drama', 'Romance']",15720304.938810473,29594517.56456173,57239382.00027689,0,2013-07-05,tt0118787,Buddy,84,"Adventure,Comedy,Drama",7085959.0,0.0,225,15,1990-10-28,236198.63333333327,34.74033333333333,0.5876399999999999,,1463.0,2013-01-01,0.0,Drama,Romance,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,233.877,133.8,67216.12188804573,126538.81127499382,244741.38970602877,52959.33482810164,1765.3111609367209
