,index,Unnamed: 0,Year,Award,Winner
108,741,741,1985,Best Play,Biloxi Blues by Neil Simon
109,762,762,1986,Best Play,I'm Not Rappaport by Herb Gardner
110,782,782,1987,Best Play,Fences by August Wilson
111,803,803,1988,Best Play,M
112,824,824,1989,Best Play,The Heidi Chronicles by Wendy Wasserstein
113,844,844,1990,Best Play,The Grapes of Wrath by Frank Galati
114,865,865,1991,Best Play,Lost in Yonkers by Neil Simon
115,886,886,1992,Best Play,Dancing at Lughnasa by Brian Friel
116,907,907,1993,Best Play,The Who's Tommy
117,929,929,1994,Best Play,Angels in America: Perestroika by Tony Kushner
118,951,951,1995,Best Play,Love! Valour! Compassion! By Terrence McNally
119,974,974,1996,Best Play,Master Class by Terrence McNally
120,996,996,1997,Best Play,The Last Night of Ballyhoo by Alfred Uhry
121,1019,1019,1998,Best Play,Art by Yasmina Reza
122,1043,1043,1999,Best Play,Side Man by Warren Leight
123,1067,1067,2000,Best Play,Copenhagen by Michael Frayn
124,1092,1092,2001,Best Play,Proof by David Auburn
125,1117,1117,2002,Best Play,Edward Albee's The Goat or Who Is Sylvia? by Edward Albee
126,1141,1141,2003,Best Play,Take Me Out by Richard Greenberg
127,1166,1166,2004,Best Play,I Am My Own Wife
128,1192,1192,2005,Best Play,Doubt
129,1220,1220,2006,Best Play,The History Boys
130,1248,1248,2007,Best Play,The Coast of Utopia
131,1275,1275,2008,Best Play,August: Osage County
132,1305,1305,2009,Best Play,Next to Normal
133,1336,1336,2010,Best Play,Red
134,1366,1366,2011,Best Play,War Horse
135,1397,1397,2012,Best Play,Clybourne Park
136,1428,1428,2013,Best Play,Vanya and Sonia and Masha and Spike
137,1458,1458,2014,Best Play,All The Way
138,1488,1488,2015,Best Play,The Curious Incident of the Dog in the Night-Time
139,1517,1517,2016,Best Play,The Humans
140,1546,1546,2017,Best Play,Oslo
141,1575,1575,2018,Best Play,Harry Potter and the Cursed Child
142,1586,1586,2019,Best Play,The Ferryman
