,title,runtime,stars,directors,filming_location,aka,oscars_won,genres,budget,domestic_gross,worldwide_gross,mpaa_rating,release
206,42nd Street,154,"['Jamie Ross', 'Elizabeth Allen', 'Clare Leach']",['Mark Bramble'],"NHK Theatre, 2 Chome-2-1 Jinnan, Shibuya City, Tokyo 150-8001, Japan",Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0743494/', 'name: Jamie Ross', '}', '{', '@type: Person', 'url: /name/nm0020490/', 'name: Elizabeth Allen', '}', '{', '@type: Person', 'url: /name/nm1040636/', 'name: Clare Leach', '}', '{', '@type: Person', 'url: /name/nm0714077/', 'name: Lee Roy Reams', '}']","$1
            ",Not found,Not found,,August 1986 (Japan)
207,Godspell,80,"['Joana Capucho', 'Michael Figueiredo', 'Marta Gil']",Not found,"Teatro Politeama, Lisbon, Portugal",Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm2083510/', 'name: Joana Capucho', '}', '{', '@type: Person', 'url: /name/nm6997740/', 'name: Michael Figueiredo', '}', '{', '@type: Person', 'url: /name/nm2156158/', 'name: Marta Gil', '}', '{', '@type: Person', 'url: /name/nm2453559/', 'name: Renato Godinho', '}']",Not found,Not found,Not found,,30 March 1997 (Portugal)
208,Godspell,Not found,"['Colton Dauksavage', 'Kaleb Koho', 'Roberto Kerezsi']",['Chris Berg'],"East Grand Forks, Minnesota, USA",Not found,0,"['Comedy', 'Drama', 'Musical']",Not found,Not found,Not found,,17 November 2017 (USA)
209,State Fair,99,"['Janet Gaynor', 'Will Rogers', 'Lew Ayres']",['Henry King'],"Des Moines, Iowa, USA",State Fair,2,"['Comedy', 'Drama', 'Romance']",Not found,Not found,Not found,Passed,10 February 1933 (USA)
210,State Fair,100,"['Jeanne Crain', 'Dana Andrews', 'Dick Haymes']",['Walter Lang'],"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",Rodgers and Hammerstein's State Fair,0,"['Comedy', 'Drama', 'Musical', 'Romance']",Not found,Not found,Not found,Passed,30 August 1945 (USA)
211,State Fair,118,"['Pat Boone', 'Bobby Darin', 'Pamela Tiffin']",['José Ferrer'],"Becker, Texas, USA",La foire aux illusions,0,"['Musical', 'Romance']","$4,500,000
            ",Not found,Not found,,9 March 1962 (USA)
212,State Fair,55,"['Vera Miles', ""Tim O'Connor"", 'Mitch Vogel']",['David Lowell Rich'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0587256/', 'name: Vera Miles', '}', '{', '@type: Person', 'url: /name/nm0640539/', 'name: Tim O\\u0027Connor', '}', '{', '@type: Person', 'url: /name/nm0900938/', 'name: Mitch Vogel', '}', '{', '@type: Person', 'url: /name/nm0167784/', 'name: Julie Cobb', '}']",Not found,Not found,Not found,,1976 (USA)
213,Passion,84,"['Cornel Wilde', 'Yvonne De Carlo', 'Raymond Burr']",['Allan Dwan'],"California, USA",Where the Wind Dies,0,"['Adventure', 'Western']",Not found,Not found,Not found,Approved,6 October 1954 (USA)
214,Passion,88,"['Isabelle Huppert', 'Hanna Schygulla', 'Michel Piccoli']",['Jean-Luc Godard'],Not found,Godard's Passion,0,"['Comedy', 'Drama']",Not found,Not found,Not found,R,26 May 1982 (France)
215,Passion,114,"['Donna Murphy', 'Jere Shea', 'Marin Mazzie']",['James Lapine'],"Plymouth Theater - 236 West 45th Street, Manhattan, New York City, New York, USA",Not found,0,"['Drama', 'Musical', 'Romance']",Not found,Not found,Not found,,29 September 1996 (USA)
216,Passion,102,"['Barbara Hershey', 'Richard Roxburgh', 'Emily Woof']",['Peter Duncan'],"Abbey Green, Bath, Somerset, England, UK",Passion: The Story of Percy Grainger,0,"['Biography', 'Drama', 'Music', 'Romance']",Not found,Not found,Not found,,1 July 1999 (Australia)
217,Passion,88,"['Viviane Romance', 'Clément Duhour', 'Paul Frankeur']",['Georges Lampin'],Not found,Amartisa hilies fores,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0738780/', 'name: Viviane Romance', '}', '{', '@type: Person', 'url: /name/nm0241082/', 'name: Clément Duhour', '}', '{', '@type: Person', 'url: /name/nm0291289/', 'name: Paul Frankeur', '}', '{', '@type: Person', 'url: /name/nm0110494/', 'name: Jean Brochard', '}']",Not found,Not found,Not found,,21 September 1951 (France)
218,Passion,Not found,"['Shirley Mason', 'George LeGuere', 'Clifford Bruce']",['Richard Ridgely'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0556953/', 'name: Shirley Mason', '}', '{', '@type: Person', 'url: /name/nm0499548/', 'name: George LeGuere', '}', '{', '@type: Person', 'url: /name/nm0115446/', 'name: Clifford Bruce', '}', '{', '@type: Person', 'url: /name/nm0177886/', 'name: Bigelow Cooper', '}']",Not found,Not found,Not found,,26 February 1917 (USA)
219,Passion,Not found,['Joseph Cameron'],['Steve Goldsworthy'],Not found,Not found,0,Not found,Not found,Not found,Not found,,15 October 1993 (Canada)
220,Passion,Not found,"['Jane Seymour', 'John Terry', 'Cristine Rose']",['Will Mackenzie'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0005412/', 'name: Jane Seymour', '}', '{', '@type: Person', 'url: /name/nm0856012/', 'name: John Terry', '}', '{', '@type: Person', 'url: /name/nm0004284/', 'name: Cristine Rose', '}', '{', '@type: Person', 'url: /name/nm0000413/', 'name: Janeane Garofalo', '}']",Not found,Not found,Not found,,17 August 1991 (USA)
221,Passion,115,"['Aoba Kawai', 'Nao Okabe', 'Ryuta Okamoto']",['Ryûsuke Hamaguchi'],"Tokyo, Japan",Vásen,0,"['actor: [', '{', '@type: Person', 'url: /name/nm1833861/', 'name: Aoba Kawai', '}', '{', '@type: Person', 'url: /name/nm2486937/', 'name: Nao Okabe', '}', '{', '@type: Person', 'url: /name/nm2133029/', 'name: Ryuta Okamoto', '}', '{', '@type: Person', 'url: /name/nm1097739/', 'name: Kiyohiko Shibukawa', '}']",Not found,Not found,Not found,,15 May 2019 (France)
222,Passion,102,"['Rachel McAdams', 'Noomi Rapace', 'Karoline Herfurth']",['Brian De Palma'],Germany,Passion,0,"['Drama', 'Mystery', 'Thriller']","$20,000,000
            ","$92,181","$713,616",R,30 August 2013 (USA)
223,Passion,54,Not found,['Jürgen Reble'],Not found,Not found,0,"['Documentary', 'Biography']",Not found,Not found,Not found,,1990 (Germany)
224,Passion - IMDb</title>,Not found,Not found,Not found,Not found,Not found,0,"['creator: [', '{', '@type: Person', 'url: /name/nm5094757/', 'name: Craig Newman', '}', '{', '@type: Organization', 'url: /company/co0383285/', '}']",Not found,Not found,Not found,,Not found
225,Anything Goes,92,"['Bing Crosby', 'Ethel Merman', 'Charles Ruggles']",['Lewis Milestone'],Not found,Tops Is the Limit,0,"['Comedy', 'Musical']","$1,100,000
            ",Not found,Not found,Not Rated,24 January 1936 (USA)
226,Anything Goes,106,"['Bing Crosby', ""Donald O'Connor"", 'Zizi Jeanmaire']",['Robert Lewis'],"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",Anything Goes,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0001078/', 'name: Bing Crosby', '}', '{', '@type: Person', 'url: /name/nm0640307/', 'name: Donald O\\u0027Connor', '}', '{', '@type: Person', 'url: /name/nm0419929/', 'name: Zizi Jeanmaire', '}', '{', '@type: Person', 'url: /name/nm0310989/', 'name: Mitzi Gaynor', '}']",Not found,Not found,Not found,,April 1956 (USA)
227,Anything Goes,Not found,"['Sean Kaufmann', 'Vanessa Broze', 'Saffron Cassaday']",['Bruno Marino'],"Brighton, Ontario, Canada",Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm2309449/', 'name: Sean Kaufmann', '}', '{', '@type: Person', 'url: /name/nm3230459/', 'name: Vanessa Broze', '}', '{', '@type: Person', 'url: /name/nm2787264/', 'name: Saffron Cassaday', '}', '{', '@type: Person', 'url: /name/nm2009095/', 'name: Andrew Martin Priestman', '}']","CAD100
            ",Not found,Not found,,4 December 2012 (Canada)
228,Anything Goes,60,"['Per Asplin', 'Anita Thallaug', 'Sølvi Wang']",['Erik Diesen'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0039687/', 'name: Per Asplin', '}', '{', '@type: Person', 'url: /name/nm0856956/', 'name: Anita Thallaug', '}', '{', '@type: Person', 'url: /name/nm0911041/', 'name: Sølvi Wang', '}', '{', '@type: Person', 'url: /name/nm0125883/', 'name: Carsten Byhring', '}']",Not found,Not found,Not found,,28 April 1962 (Norway)
229,Anything Goes - IMDb</title>,Not found,"['Pablo Soler', 'Ana Calabozo', 'Elena Climent']",['Álvaro Ortega'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm5759742/', 'name: Pablo Soler', '}', '{', '@type: Person', 'url: /name/nm5537179/', 'name: Ana Calabozo', '}', '{', '@type: Person', 'url: /name/nm4338406/', 'name: Elena Climent', '}']",Not found,Not found,Not found,,Not found
230,The Mikado,90,"['Kenny Baker', 'John Barclay', 'Martyn Green']",['Victor Schertzinger'],"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",A mikádó,1,"['Musical', 'Comedy']",Not found,Not found,Not found,Not Rated,1 May 1939 (USA)
231,The Mikado,122,"['Donald Adams', 'Philip Potter', 'John Reed']",['Stuart Burge'],"Golders Green Hippodrome, Golders Green, London, England, UK",The Town of Titipu,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0010921/', 'name: Donald Adams', '}', '{', '@type: Person', 'url: /name/nm0693341/', 'name: Philip Potter', '}', '{', '@type: Person', 'url: /name/nm0715486/', 'name: John Reed', '}', '{', '@type: Person', 'url: /name/nm0761862/', 'name: Kenneth Sandford', '}']",Not found,Not found,Not found,,15 March 1967 (USA)
232,The Mikado,150,"['Gidon Saks', 'Henry Ingram', 'Eric Donkin']","['Norman Campbell', 'Brian Macdonald']","Stratford, Ontario, Canada",The Town of Titipu,0,"['Comedy', 'Musical']",Not found,Not found,Not found,,2 January 1983 (Canada)
233,The Mikado,116,"['William Conrad', 'Clive Revill', 'Kate Flowers']",['Rodney Greenberg'],"Twickenham Film Studios, St Margarets, Twickenham, Middlesex, England, UK",The Town of Titipu,0,"['Comedy', 'Musical']",Not found,Not found,Not found,,18 August 1983 (Australia)
234,The Mikado,Not found,"['John Cartier', 'Helen Landis', 'Valerie Masterson']",['Peter Seabourne'],Not found,Not found,0,"['Music', 'Comedy']",Not found,Not found,Not found,,Not found
235,The Mikado,130,"['Eric Idle', 'Lesley Garrett', 'Bonaventura Bottone']",['John Michael Phillips'],Not found,Gilbert &amp; Sullivan's The Mikado,0,"['Musical', 'Comedy']",Not found,Not found,Not found,,30 December 1987 (UK)
236,The Mikado,Not found,"['Fenton Gray', 'Julian Jensen', 'Jill Pert']","['John Michael Phillips', 'Andrew Wickes']","Buxton Opera House, Buxton, Derbyshire, England, UK",Not found,0,"['Musical', 'Comedy']",Not found,Not found,Not found,,1992 (UK)
237,The Mikado,Not found,"['Jon English', 'Derek Metzger', 'Terri Crouch']","['Peter Butler', 'Craig Schaefer']",Not found,The Town of Titipu,0,"['Musical', 'Comedy']",Not found,Not found,Not found,,Not found
238,The Mikado,Not found,"['Graeme Ewer', 'Gregory Yurisich', 'Heather Begg']",['Virginia Lumsden'],"Sydney, New South Wales, Australia",Opera Australia: The Mikado,0,"['Musical', 'Comedy']",Not found,Not found,Not found,,1987 (Australia)
239,The Mikado,Not found,"['Gillian Knight', 'Eric Roberts', 'Bruce Graham']",['Ken Robertson Scott'],Not found,Not found,0,"['Comedy', 'Musical']",Not found,Not found,Not found,,Not found
240,The Mikado,125,"['Valerie Masterson', 'David Hillman', 'Philip Sommerscales']",['Michael Hayes'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0557765/', 'name: Valerie Masterson', '}', '{', '@type: Person', 'url: /name/nm0385048/', 'name: David Hillman', '}', '{', '@type: Person', 'url: /name/nm1364553/', 'name: Philip Sommerscales', '}', '{', '@type: Person', 'url: /name/nm0908678/', 'name: Ian Wallace', '}']",Not found,Not found,Not found,,28 December 1973 (UK)
241,The Mikado,144,"['Richard Suart', 'Anthony Gregory', 'Mary Bevan']",['Andrew Morahan'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0836870/', 'name: Richard Suart', '}', '{', '@type: Person', 'url: /name/nm7759119/', 'name: Anthony Gregory', '}', '{', '@type: Person', 'url: /name/nm5254483/', 'name: Mary Bevan', '}', '{', '@type: Person', 'url: /name/nm1669891/', 'name: Graeme Danby', '}']",Not found,Not found,Not found,,2 July 2019 (UK)
242,The Mikado,Not found,"['Richard Alexander', 'Mitchell Butel', 'Samuel Dundas']",['Stuart Maunder'],"Victorian Arts Centre, Melbourne, Victoria, Australia",Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0018695/', 'name: Richard Alexander', '}', '{', '@type: Person', 'url: /name/nm0124728/', 'name: Mitchell Butel', '}', '{', '@type: Person', 'url: /name/nm6559477/', 'name: Samuel Dundas', '}', '{', '@type: Person', 'url: /name/nm5555244/', 'name: Warwick Fyfe', '}']",Not found,Not found,Not found,,20 November 2011 (Australia)
243,The Mikado,70,"['John Holmes', 'Kevin Miller', 'Derek Hammond-Stroud']",Not found,Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm1520979/', 'name: John Holmes', '}', '{', '@type: Person', 'url: /name/nm1313163/', 'name: Kevin Miller', '}', '{', '@type: Person', 'url: /name/nm0358804/', 'name: Derek Hammond-Stroud', '}', '{', '@type: Person', 'url: /name/nm0235831/', 'name: Dennis Dowling', '}']",Not found,Not found,Not found,,24 December 1962 (UK)
244,Holiday,91,"['Ann Harding', 'Mary Astor', 'Robert Ames']",['Edward H. Griffith'],Not found,Wakacje,2,"['Comedy', 'Drama']",Not found,Not found,Not found,,3 July 1930 (USA)
245,Holiday,95,"['Katharine Hepburn', 'Cary Grant', 'Doris Nolan']",['George Cukor'],"Columbia Pictures, Sunset Boulevard &amp; Gower Street, Hollywood, Los Angeles, California, USA",Unconventional Linda,1,"['Comedy', 'Romance']",Not found,Not found,"$14,486",Not Rated,15 June 1938 (USA)
246,Holiday,Not found,"['Onjolee Nair', 'Dino Morea', 'Kashmira Shah']",['Pooja Bhatt'],Not found,Not found,0,"['Drama', 'Musical', 'Romance']",Not found,Not found,Not found,,10 February 2006 (India)
247,Holiday,Not found,"['Corinne Vahanian', 'Scott Varley']",['Donna Pennell'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm10710749/', 'name: Corinne Vahanian', '}', '{', '@type: Person', 'url: /name/nm10710470/', 'name: Scott Varley', '}']",Not found,Not found,Not found,,7 December 1996 (USA)
248,Holiday,90,"['Jean-Pierre Darroussin', 'Judith Godrèche', 'Josiane Balasko']",['Guillaume Nicloux'],"Cahors, Lot, France",Not found,0,"['Comedy', 'Crime', 'Mystery']",Not found,Not found,"$555,297",,8 December 2010 (France)
249,Holiday: A Soldier is Never Off Duty,160,"['Akshay Kumar', 'Sonakshi Sinha', 'Freddy Daruwala']",['A.R. Murugadoss'],"Mumbai, Maharashtra, India",Holiday,0,"['Action', 'Thriller']","INR500,000,000
            ","$706,893","$1,390,054",Not Rated,6 June 2014 (India)
250,Holiday - IMDb</title>,Not found,Not found,Not found,Not found,Not found,0,"['director: {', '@type: Person', 'url: /name/nm5724850/', 'name: Pawel Ferdek', '}', 'creator: [', '{', '@type: Person', 'url: /name/nm5724850/', 'name: Pawel Ferdek', '}', '{', '@type: Person', 'url: /name/nm7456866/', 'name: Arun Milcarz', '}', '{', '@type: Organization', 'url: /company/co0306557/', '}']",Not found,Not found,Not found,,Not found
251,Holiday,60,"['John Cotter', 'Briana Green', 'Zachary Keller']",['Jake Laystrom'],"Lake Zurich, Illinois, USA",Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm7883921/', 'name: John Cotter', '}', '{', '@type: Person', 'url: /name/nm7883920/', 'name: Briana Green', '}', '{', '@type: Person', 'url: /name/nm6273216/', 'name: Zachary Keller', '}', '{', '@type: Person', 'url: /name/nm7883919/', 'name: Amanda Sarsha', '}']","$1,000
            ",Not found,Not found,,28 May 2016 (USA)
252,Holiday,71,"['Zhihai Chen', 'Liangzheng Wang']",['Zhihai Chen'],Not found,Not found,0,"['Drama', 'Family']",Not found,Not found,Not found,,19 June 2017 (China)
253,Holiday,93,"['Victoria Carmen Sonne', 'Lai Yde', 'Thijs Römer']",['Isabella Eklöf'],"Bodrum, Turkey",Holiday,0,"['Crime', 'Drama']",Not found,Not found,"$2,678",,1 February 2019 (USA)
254,Holiday,84,"['Dimpy Anand', 'Ryan Babic', 'Brian Carter']",['Robert Cook'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm10059230/', 'name: Dimpy Anand', '}', '{', '@type: Person', 'url: /name/nm10059234/', 'name: Ryan Babic', '}', '{', '@type: Person', 'url: /name/nm2575474/', 'name: Brian Carter', '}', '{', '@type: Person', 'url: /name/nm0223845/', 'name: Vincent Di Gaetano', '}']","$4,500
            ",Not found,Not found,,21 May 2018 (USA)
255,Holiday,50,"['Brian Anderson', 'John Armstrong', 'Cul Cullen']",Not found,Not found,Not found,0,Not found,Not found,Not found,Not found,,21 July 1974 (Australia)
256,Swing!,69,"['Cora Green', 'Larry Seymour', 'Hazel Diaz']",['Oscar Micheaux'],"New York City, New York, USA",Not found,0,"['Musical', 'Drama']",Not found,Not found,Not found,,29 April 1938 (USA)
257,Bombay Dreams,91,"['Gayathri Mudigonda', 'Nadine Kirschon', 'Sissela Kyle']",['Lena Koppel'],"Mumbai, Maharashtra, India",Bombayi álmok,0,"['Comedy', 'Drama']",Not found,Not found,Not found,,22 October 2004 (Sweden)
258,Bombay Dreams,Not found,"['Raza Jaffrey', 'Preeya Kalidas', 'Ayesha Dharker']",['Steven Pimlott'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm1203005/', 'name: Raza Jaffrey', '}', '{', '@type: Person', 'url: /name/nm0435755/', 'name: Preeya Kalidas', '}', '{', '@type: Person', 'url: /name/nm0223499/', 'name: Ayesha Dharker', '}', '{', '@type: Person', 'url: /name/nm0846681/', 'name: Dalip Tahil', '}']",Not found,Not found,Not found,,19 June 2002 (UK)
259,Love Thy Neighbor,82,"['Jack Benny', 'Fred Allen', 'Mary Martin']",['Mark Sandrich'],"Santa Catalina Island, Channel Islands, California, USA",Ama o Teu Vizinho,0,"['Animation', 'Comedy', 'Musical']",Not found,Not found,Not found,,27 December 1940 (USA)
260,Love Thy Neighbor,100,"['John Ritter', 'Penny Marshall', 'Cassie Yates']",['Tony Bill'],Not found,Love Thy Neighbor,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0000615/', 'name: John Ritter', '}', '{', '@type: Person', 'url: /name/nm0001508/', 'name: Penny Marshall', '}', '{', '@type: Person', 'url: /name/nm0946720/', 'name: Cassie Yates', '}', '{', '@type: Person', 'url: /name/nm0176622/', 'name: Bert Convy', '}']",Not found,Not found,Not found,,23 May 1984 (USA)
261,Love Thy Neighbor,89,"['Jack Gwaltney', 'Jennifer Bransford', 'John Enos III']",['Nick Gregory'],Not found,A szomszéd nője,0,"['Comedy', 'Drama', 'Mystery', 'Thriller']",Not found,Not found,Not found,R,3 September 2005 (Hungary)
262,Love Thy Neighbor,89,"['Alexandra Paul', 'Shannon Lawson', 'Gary Hudson']",['Paul Schneider'],"Guelph, Ontario, Canada",Seguridad bajo amenaza,0,"['Drama', 'Mystery', 'Thriller']",Not found,Not found,Not found,TV-14,26 February 2006 (USA)
263,Love Thy Neighbor,Not found,Not found,Not found,Not found,Not found,0,"['creator: {', '@type: Person', 'url: /name/nm10721725/', 'name: Catherine Levi', '}', 'keywords: arrest']",Not found,Not found,Not found,,Not found
264,Love Thy Neighbor - IMDb</title>,Not found,Not found,Not found,Not found,Not found,0,"['creator: {', '@type: Organization', 'url: /company/co0778231/', '}']",Not found,Not found,Not found,,Not found
265,Love Thy Neighbor,61,['Laura Cannon'],Not found,Not found,Not found,0,Not found,Not found,Not found,Not found,,Not found
266,The Boys from Syracuse,73,"['Allan Jones', 'Irene Hervey', 'Martha Raye']",['A. Edward Sutherland'],"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",Grabbarna från Syrakusa,2,"['Comedy', 'Musical']",Not found,Not found,Not found,,9 August 1940 (USA)
267,Twelfth Night,120,"['Janet Suzman', 'Charles Gray', 'Marilyn Taylerson']",['David Giles'],"Castle Howard, York, North Yorkshire, England, UK",Loppiaisaatto,0,"['Comedy', 'Drama', 'Romance']",Not found,Not found,Not found,,August 1996 (USA)
268,Twelfth Night,128,"['Alec McCowen', 'Robert Hardy', 'Felicity Kendal']",['John Gorrie'],Not found,The Complete Dramatic Works of William Shakespeare: Twelfth Night,0,"['Comedy', 'Drama', 'Romance']",Not found,Not found,Not found,Not Rated,6 January 1980 (UK)
269,Twelfth Night,117,"['Gillian Jones', 'Ivar Kants', 'Jacquy Phillips']",['Neil Armfield'],"Sydney, New South Wales, Australia",Wieczór trzech króli,0,"['Comedy', 'Drama', 'Romance']",Not found,Not found,Not found,,1986 (Australia)
270,Twelfth Night,150,"['Peggy Ashcroft', 'Michael Redgrave', 'Esmond Knight']",['Michel Saint-Denis'],"The Phoenix Theatre, Charing Cross Road, Soho, London, England, UK",Not found,0,"['Comedy', 'Drama', 'Romance']",Not found,Not found,Not found,,2 January 1939 (UK)
271,Twelfth Night,Not found,"['Max Adrian', 'Lloyd Bochner', 'Richard Buck']",['David Greene'],Not found,Hallmark Hall of Fame: Twelfth Night (#7.3),0,"['Comedy', 'Drama', 'Romance']",Not found,Not found,Not found,,15 December 1957 (USA)
272,Twelfth Night,Not found,"['Beth Amos', 'Len Birman', 'Douglas Campbell']",['George McCowan'],Not found,Not found,0,"['Comedy', 'Drama', 'Romance']",Not found,Not found,Not found,,8 April 1964 (Canada)
273,Twelfth Night,144,"['Colm Feore', 'Brent Stait', 'David Renton']",['Alan Erlich'],"Festival Theatre, Stratford, Ontario, Canada",Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0272173/', 'name: Colm Feore', '}', '{', '@type: Person', 'url: /name/nm0821609/', 'name: Brent Stait', '}', '{', '@type: Person', 'url: /name/nm0719879/', 'name: David Renton', '}', '{', '@type: Person', 'url: /name/nm0571426/', 'name: Seana McKenna', '}']",Not found,Not found,Not found,,1986 (Canada)
274,Twelfth Night,85,"['Roger Climpson', 'Helen Morse', 'Judith Fisher']",['Ken Hannam'],"ABC ABN2 Studios, 221 Pacific Highway, Gore Hill, Sydney, New South Wales, Australia",Not found,0,"['Comedy', 'Drama', 'Romance']",Not found,Not found,Not found,,28 September 1966 (Australia)
275,Twelfth Night,120,"['Ben Carlson', 'Brian Dennehy', 'Victor Dolhai']",['Barry Avrich'],"Stratford, Ontario, Canada",Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm1191693/', 'name: Ben Carlson', '}', '{', '@type: Person', 'url: /name/nm0001133/', 'name: Brian Dennehy', '}', '{', '@type: Person', 'url: /name/nm5215659/', 'name: Victor Dolhai', '}', '{', '@type: Person', 'url: /name/nm0653554/', 'name: Stephen Ouimette', '}']",Not found,Not found,Not found,,10 March 2012 (Canada)
276,Twelfth Night,155,"['Jonathan Addeo', 'Nick Addeo', 'Ron Brawer']",['Catherine Taormina'],"Seaville, New Jersey, USA",Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm6441075/', 'name: Jonathan Addeo', '}', '{', '@type: Person', 'url: /name/nm2180454/', 'name: Nick Addeo', '}', '{', '@type: Person', 'url: /name/nm2430913/', 'name: Ron Brawer', '}', '{', '@type: Person', 'url: /name/nm4906221/', 'name: Matthew Cohn', '}']",Not found,Not found,Not found,,4 April 2014 (USA)
277,Shakespeare's Globe Theatre: Twelfth Night,176,"['Samuel Barnett', 'Liam Brennan', 'Paul Chahidi']",['Tim Carroll'],"London, England, UK",Shakespeare's Globe Theatre: Twelfth Night,0,"['actor: [', '{', '@type: Person', 'url: /name/nm1154650/', 'name: Samuel Barnett', '}', '{', '@type: Person', 'url: /name/nm0107343/', 'name: Liam Brennan', '}', '{', '@type: Person', 'url: /name/nm0149628/', 'name: Paul Chahidi', '}', '{', '@type: Person', 'url: /name/nm0175298/', 'name: John Paul Connolly', '}']",Not found,Not found,Not found,,16 September 2014 (USA)
278,Royal Shakespeare Company: Twelfth Night,Not found,"['Charles Baker', 'Rich Baker', 'Justin Brownstone']",['Ned Record'],"Los Angeles, California, USA",Royal Shakespeare Company: Twelfth Night,0,"['actor: [', '{', '@type: Person', 'url: /name/nm1889973/', 'name: Charles Baker', '}', '{', '@type: Person', 'url: /name/nm4590861/', 'name: Rich Baker', '}', '{', '@type: Person', 'url: /name/nm8820675/', 'name: Justin Brownstone', '}', '{', '@type: Person', 'url: /name/nm4822304/', 'name: Jamie Costa', '}']","$15,000
            ",Not found,Not found,,5 January 2018 (USA)
279,Twelfth Night,166,"['Sheila Atim', 'Antony Bunsee', 'Shalini Peiris']",['Adam Smethurst'],Not found,Not found,0,"['Comedy', 'Drama', 'Romance']",Not found,Not found,Not found,Not Rated,25 October 2018 (UK)
280,Twelfth Night,95,"['Sasha Allen-Grieve', 'Lisa Anjewierden', 'Spencer Beal']",['Jon Waters'],"Freak Alley Gallery, 210 N 9th St, Boise, Idaho, USA",Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm5127423/', 'name: Sasha Allen-Grieve', '}', '{', '@type: Person', 'url: /name/nm8263337/', 'name: Lisa Anjewierden', '}', '{', '@type: Person', 'url: /name/nm8851380/', 'name: Spencer Beal', '}', '{', '@type: Person', 'url: /name/nm8395917/', 'name: Emily Broglia', '}']","$1,700
            ",Not found,Not found,,2017 (USA)
281,Twelfth Night,121,"['Dale Cutts', ""Brian O'Shaughnessy"", 'Eric Flynn']",['Douglas Bristow'],Not found,Not found,0,"['Comedy', 'Romance']",Not found,Not found,Not found,,22 October 1981 (South Africa)
282,Aspects of Love,Not found,"['Ann Crumb', 'Michael Ball', 'Kevin Colson']",Not found,Not found,Not found,0,"['Musical', 'Romance']",Not found,Not found,Not found,,Not found
283,Aspects of Love,Not found,"['Sarah Brightman', 'Albert Finney', 'Jean Louisa Kelly']",['Gale Edwards'],Not found,Not found,0,"['Musical', 'Romance']",Not found,Not found,Not found,,Not found
284,Brooklyn,80,"['Artur Szõcs', 'Máté Haumann', 'Alexis Latham']",['Martin Csaba'],"Brooklyn, New York City, New York, USA",The Gentle Art of Making Friends,0,"['Comedy', 'Crime']",Not found,Not found,Not found,,2010 (Hungary)
285,Brooklyn,117,"['Saoirse Ronan', 'Emory Cohen', 'Domhnall Gleeson']",['John Crowley'],Ireland,Brooklyn,3,"['Drama', 'Romance']","$11,000,000
            ","$38,322,743","$62,076,141",PG-13,25 November 2015 (USA)
286,Brooklyn,83,"['Kt Gorique', 'Rafal Uchiwa', 'Jalil Naciri']",['Pascal Tessaud'],"Saint-Denis, Seine-Saint-Denis, France",Not found,0,"['Drama', 'Music', 'Musical']",Not found,Not found,Not found,,23 September 2015 (France)
287,Brooklyn - IMDb</title>,Not found,Not found,['Daniel J. Strehlau'],Not found,AKA 'BKL - Brooklyn',0,"['director: {', '@type: Person', 'url: /name/nm2698070/', 'name: Daniel J. Strehlau', '}', 'creator: [', '{', '@type: Person', 'url: /name/nm2698070/', 'name: Daniel J. Strehlau', '}', '{', '@type: Organization', 'url: /company/co0485608/', '}']",Not found,Not found,Not found,,Not found
