,title,runtime,stars,directors,filming_location,aka,oscars_won,genres,budget,domestic_gross,worldwide_gross,mpaa_rating,release
18,Chicago,118,"['Phyllis Haver', 'Victor Varconi', 'Virginia Bradford']",['Frank Urson'],"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",Chicago,0,"['Comedy', 'Crime', 'Drama']","$264,397
            ",Not found,Not found,Not Rated,23 December 1927 (USA)
19,Chicago,113,"['Renée Zellweger', 'Catherine Zeta-Jones', 'Richard Gere']",['Rob Marshall'],"Danforth Music Hall - 147 Danforth Ave., Toronto, Ontario, Canada",Chicago: The Musical,0,"['Comedy', 'Crime', 'Musical']","$45,000,000
            ","$170,687,518","$306,776,732",PG-13,24 January 2003 (USA)
20,Chicago,Not found,Not found,['Sarah Morris'],Not found,Not found,0,"['director: {', '@type: Person', 'url: /name/nm1637813/', 'name: Sarah Morris', '}', 'datePublished: 2011-04-29', 'creator: {', '@type: Organization', 'url: /company/co0123910/', '}']","$250,000
            ",Not found,Not found,,29 April 2011 (Germany)
21,Chicago,Not found,"['Chryssoula Diavati', 'Smaroula Giouli', 'Panos Hatzikoutselis']",Not found,Not found,Not found,0,Not found,Not found,Not found,Not found,,Not found
22,Chicago,Not found,Not found,Not found,Not found,Not found,0,"['actor: {', '@type: Person', 'url: /name/nm10839431/', 'name: Lizandro Mazariegos', '}', 'creator: [', '{', '@type: Person', 'url: /name/nm4725258/', 'name: Joe Webb', '}', '{', '@type: Organization', 'url: /company/co0099424/', '}']",Not found,Not found,Not found,,Not found
23,Chicago,Not found,"['Madison Vollmer', 'Faye Heneghan', 'Andy Bornman']","['Reed Meschefske', 'Marilyn Barnes']",Not found,Not found,0,"['Comedy', 'Crime', 'Drama', 'Musical']","$10,000
            ",Not found,Not found,,2 May 2019 (USA)
24,Annie,127,"['Aileen Quinn', 'Albert Finney', 'Carol Burnett']",['John Huston'],"Plaza Hotel, New Jersey, USA",Annie,2,"['Comedy', 'Drama', 'Family', 'Musical']","$50,000,000
            ","$57,059,003","$57,059,003",PG,18 June 1982 (USA)
25,Annie,118,"['Quvenzhané Wallis', 'Cameron Diaz', 'Jamie Foxx']",['Will Gluck'],"New York City, New York, USA",Annie,2,"['Comedy', 'Drama', 'Family', 'Musical']","$65,000,000
            ","$85,911,262","$136,853,506",PG,19 December 2014 (USA)
26,Annie - IMDb</title>,Not found,"['Todd Ditch', 'Evelyn Ditch', 'Shanen Ditch']",['Mark France'],"Oakland County, Michigan, USA",Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm7334877/', 'name: Todd Ditch', '}', '{', '@type: Person', 'url: /name/nm7334876/', 'name: Evelyn Ditch', '}', '{', '@type: Person', 'url: /name/nm7347519/', 'name: Shanen Ditch', '}', '{', '@type: Person', 'url: /name/nm7334878/', 'name: Gaven Ditch', '}']","$75,000
            ",Not found,Not found,,Not found
27,Annie,74,"['Ashley Christopher Leach', 'J. Andrew McNeal', 'Conrad Shaw']","['Ashley Christopher Leach', 'Ashley Christopher Leach']",Not found,Not found,0,"['Drama', 'Romance']",Not found,Not found,Not found,,15 November 2015 (USA)
28,Annie,Not found,"['Lilly Orrell', 'Francesca Pinto', 'Anthony Warlow']",['Susan Geldart'],Not found,Annie,0,"['Comedy', 'Musical']",Not found,Not found,Not found,,Not found
29,Cinderella,52,"['Mary Pickford', 'Owen Moore', 'Isabel Vernon']",['James Kirkwood'],Not found,The Stepsister,0,"['Fantasy', 'Drama']",Not found,Not found,Not found,,28 December 1914 (USA)
30,Cinderella,74,"['Ilene Woods', 'James MacDonald', 'Eleanor Audley']","['Clyde Geronimi', 'Wilfred Jackson']","Château de Chambord, Chambord, Loir-et-Cher, France",Cinderella,3,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']","$2,900,000
            ","$93,141,149","$95,126,535",G,4 March 1950 (USA)
31,Cinderella,Not found,Not found,Not found,Not found,Cenicienta,0,Not found,Not found,Not found,Not found,,1963 (UK)
32,Cinderella,84,"['Ginger Rogers', 'Walter Pidgeon', 'Celeste Holm']",['Charles S. Dubin'],"Studio 41, CBS Television City - 7800 Beverly Boulevard, Fairfax, Los Angeles, California, USA",Rodgers &amp; Hammerstein's Cinderella,0,"['Family', 'Fantasy', 'Musical', 'Romance']",Not found,Not found,Not found,G,22 February 1965 (USA)
33,Cinderella,94,"['Cheryl Smith', 'Yana Nirvana', 'Marilyn Corwin']",['Michael Pataki'],Not found,Cinderella,0,"['Comedy', 'Musical']",Not found,Not found,Not found,R,May 1977 (USA)
34,Cinderella,88,"['Brandy Norwood', 'Bernadette Peters', 'Veanne Cox']",['Robert Iscove'],"Los Angeles, California, USA",Rodgers &amp; Hammerstein's Cinderella,0,"['Family', 'Fantasy', 'Musical', 'Romance']","$12,000,000
            ",Not found,Not found,G,2 November 1997 (USA)
35,Cinderella,90,"['Julie Andrews', 'Ilka Chase', 'Edie Adams']",['Ralph Nelson'],"CBS Studio 72, New York City, New York, USA",Rodgers and Hammerstein's Cinderella,3,"['Musical', 'Family', 'Comedy', 'Fantasy', 'Romance']",Not found,Not found,Not found,,31 March 1957 (USA)
36,Cinderella,95,"['Joan Warner', 'Christiane Delyne', 'Jeanne Fusier-Gir']",['Pierre Caron'],Not found,Cenicienta,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0912503/', 'name: Joan Warner', '}', '{', '@type: Person', 'url: /name/nm0218011/', 'name: Christiane Delyne', '}', '{', '@type: Person', 'url: /name/nm0299353/', 'name: Jeanne Fusier-Gir', '}', '{', '@type: Person', 'url: /name/nm0214942/', 'name: Suzanne Dehelly', '}']",Not found,Not found,Not found,,1 July 1937 (France)
37,Cinderella,83,"['Sharon Maughan', 'Gideon Turner', 'David Warner']",['Beeban Kidron'],"Castletown, Isle of Man",Cinderella,0,"['Drama', 'Fantasy', 'Romance']",Not found,Not found,Not found,TV-PG,17 December 2001 (USA)
38,Cinderella,90,"['Frank Skinner', 'Samantha Womack', 'Siân Phillips']",['Liddy Oldroyd'],"Brixton, London, England, UK",Cenicienta,0,"['Comedy', 'Drama']",Not found,Not found,Not found,,2 January 2000 (UK)
39,Cinderella,102,"['Antoinette Sibley', 'Anthony Dowell', 'Frederick Ashton']",['John Vernon'],"London, England, UK",Not found,0,"['Fantasy', 'Music', 'Romance']",Not found,Not found,Not found,,25 December 1970 (UK)
40,Cinderella,Not found,['Vilma Santos'],Not found,Not found,Not found,0,"['Comedy', 'Drama', 'Fantasy']",Not found,Not found,Not found,,1974 (Philippines)
41,Cinderella,150,"['Vanessa Becerra', 'Jonas Hacker', 'Mary Dunleavy']",['Brad Dalton'],"San Jose, California, USA",Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm10544341/', 'name: Vanessa Becerra', '}', '{', '@type: Person', 'url: /name/nm10544342/', 'name: Jonas Hacker', '}', '{', '@type: Person', 'url: /name/nm1237607/', 'name: Mary Dunleavy', '}', '{', '@type: Person', 'url: /name/nm3574106/', 'name: Nathan Stark', '}']",Not found,Not found,Not found,,2018 (USA)
42,Cinderella,Not found,"['Camila Cabello', 'Billy Porter', 'Nicholas Galitzine']",['Kay Cannon'],"Blackpool, England, UK",Cinderella,0,"['Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",Not found,Not found,Not found,,5 February 2021 (USA)
43,Cinderella,60,"['Jay Berriman', 'Kevin Crease', 'Ian Fairweather']",Not found,"NWS 9, Tynte Street, North Adelaide, Adelaide, South Australia, Australia",The Wonderful Story of Cinderella,0,"['Family', 'Fantasy']",Not found,Not found,Not found,,23 December 1962 (Australia)
44,Cinderella,120,"['Peter Baillie', 'Heather Begg', 'Janice Copland']",['Robert L. Allnutt'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm6897217/', 'name: Peter Baillie', '}', '{', '@type: Person', 'url: /name/nm0066717/', 'name: Heather Begg', '}', '{', '@type: Person', 'url: /name/nm11925014/', 'name: Janice Copland', '}', '{', '@type: Person', 'url: /name/nm11924908/', 'name: Diane Holmes', '}']",Not found,Not found,Not found,,12 May 1965 (Australia)
45,Cinderella,105,"['Lily James', 'Cate Blanchett', 'Richard Madden']",['Kenneth Branagh'],"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",Cinderella,1,"['Drama', 'Family', 'Fantasy', 'Romance']","$95,000,000
            ","$201,151,353","$542,351,353",PG,13 March 2015 (USA)
46,Cinderella,65,"['June Thorburn', 'John Fabian', 'Peter Sallis']",Not found,Not found,Not found,0,"['Drama', 'Family', 'Musical']",Not found,Not found,Not found,,26 December 1958 (UK)
47,Cinderella,120,"['Sally Ann Howes', 'Joy Nichols', 'Marten Tiffen']",Not found,Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0398141/', 'name: Sally Ann Howes', '}', '{', '@type: Person', 'url: /name/nm0629620/', 'name: Joy Nichols', '}', '{', '@type: Person', 'url: /name/nm1306816/', 'name: Marten Tiffen', '}', '{', '@type: Person', 'url: /name/nm0401323/', 'name: Jack Hulbert', '}']",Not found,Not found,Not found,,26 December 1950 (UK)
48,Cinderella - IMDb</title>,Not found,Not found,Not found,Not found,Not found,0,"['Drama', 'Fantasy', 'Romance']",Not found,Not found,Not found,,Not found
