,Unnamed: 0,title,FILM_runtime,FILM_stars,FILM_directors,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres.1,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_weekly_gross,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_release_year,FILM_mpaa_rating_number,GENRE_1,GENRE_2,GENRE_3,GENRE_4,GENRE_5,GENRE_Action,GENRE_Adventure,GENRE_Animation,GENRE_Biography,GENRE_Comedy,GENRE_Crime,GENRE_Documentary,GENRE_Drama,GENRE_Family,GENRE_Fantasy,GENRE_Horror,GENRE_Music,GENRE_Musical,GENRE_Mystery,GENRE_Romance,GENRE_Sport,GENRE_Thriller,GENRE_War,GENRE_Western
159,26237,Dirty Blonde,83.0,"['Danielle', 'Carol Cross', 'Cody Nicole']",['Joseph W. Sarno'],Not found,0.0,"['Comedy', 'Drama']",15293913.881389052,33419995.13618334,60086500.74143253,0,1984,tt0188566,Dirty Blonde,83,"Adult,Comedy,Mystery",7925422.0,13208325.0,352,20,2000-04-16,168626.0,47.6259574468085,0.7458744680851064,62.44680851063829,589.0,1984-01-01,0.0,Comedy,Drama,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
160,25112,Dirty Rotten Scoundrels,110.0,"['Steve Martin', 'Michael Caine', 'Glenne Headly']",['Frank Oz'],Dirty Rotten Scoundrels,1.0,"['Adult', 'Comedy', 'Mystery']",8645080.472293254,42039085.0,42039085.0,2,14 December 1988,tt0095031,Dirty Rotten Scoundrels,110,"Comedy,Crime",58033865.0,78671357.0,627,36,2005-02-06,699203.1927710844,71.36253012048192,0.8491710843373494,175.34638554216866,1435.0,1988-01-01,2.0,,Comedy,Mystery,,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
161,26720,Disaster!,83.0,"['Jim Cummings', 'Glenn Morshower', 'Danny Mann']",['Roy T. Wood'],Disaster - The Movie,0.0,"['Comedy', 'Crime']",2980000.0,22060746.435267538,22822825.251375116,4,4 November 2005,tt0424958,Disaster!,83,"Animation,Comedy,Sci-Fi",4293429.62,14427776.0,72,32,2016-02-14,330263.8169230769,61.16384615384614,0.5675076923076923,197.0,1197.923076923077,2005-01-01,4.0,Comedy,Crime,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
162,19865,Disgraced,103.92223086256442,"['Leah Huebner', 'Chelsea Kurtz', 'Parvesh Cheena']",['Nick Peet'],Not found,0.0,"['Animation', 'Comedy', 'Sci-Fi']",15187295.478689766,34509519.00544825,61009145.066609874,0,2017,tt0023951,Disgraced,66,"Mystery,Romance",8534968.0,17143825.0,149,27,2014-09-28,371085.56521739135,74.33260869565217,0.7158434782608695,198.0,918.0,2017-01-01,0.0,Animation,Comedy,Sci-Fi,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,22411,Doctor Zhivago,197.0,"['Omar Sharif', 'Julie Christie', 'Geraldine Chaplin']",['David Lean'],Doctor Zhivago,0.0,"['actor:', '{', '@type: Person', 'url: /name/nm5932423/', 'name: Leah Huebner', '}', '{', '@type: Person', 'url: /name/nm4626907/', 'name: Chelsea Kurtz', '}', '{', '@type: Person', 'url: /name/nm1231867/', 'name: Parvesh Cheena', '}', '{', '@type: Person', 'url: /name/nm8535279/', 'name: Arden Grier', '}']",11000000.0,111721910.0,111918564.0,3,31 December 1965,tt0059113,Doctor Zhivago,197,"Drama,Romance,War",3197457.0,7689356.0,23,26,2015-03-29,456779.5714285714,59.93714285714285,0.7630285714285715,247.0,1478.0,1965-01-01,3.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,26355,Doubles,104.99673164723299,"['Prabhu Deva', 'Aachi Manorama', 'Meena']",['R. Pandiaraajan'],Not found,0.0,"['Drama', 'Romance', 'War']",15439977.220723081,30284795.12293713,56219367.35208434,0,2000,tt0206696,Doubles,90,Thriller,2153546.0,0.0,248,0,1985-06-09,69469.2258064516,19.322903225806453,0.7223967741935484,,652.0645161290323,2000-01-01,0.0,Drama,Romance,War,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
165,26564,Doubt,60.0,"['Carla Gugino', 'Steve Coogan', 'Kacey Rohl']",['Thomas Schlamme'],Not found,0.0,"['actor:', '{', '@type: Person', 'url: /name/nm0222150/', 'name: Prabhu Deva', '}', '{', '@type: Person', 'url: /name/nm7390393/', 'name: Aachi Manorama', '}', '{', '@type: Person', 'url: /name/nm0576169/', 'name: Meena', '}', '{', '@type: Person', 'url: /name/nm1455467/', 'name: R. Pandiaraajan', '}']",15526241.944506194,38052759.38075884,69180391.4282287,0,2013,tt0918927,Doubt,104,"Drama,Mystery",27656473.0,37977364.0,525,25,2005-03-13,400818.44927536225,66.81999999999998,0.7987782608695652,187.43478260869568,924.0,2013-01-01,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,19697,Dracula,128.0,"['Gary Oldman', 'Winona Ryder', 'Anthony Hopkins']",['Francis Ford Coppola'],D,0.0,"['actor:', '{', '@type: Person', 'url: /name/nm0001303/', 'name: Carla Gugino', '}', '{', '@type: Person', 'url: /name/nm0176869/', 'name: Steve Coogan', '}', '{', '@type: Person', 'url: /name/nm3821782/', 'name: Kacey Rohl', '}', '{', '@type: Person', 'url: /name/nm0342399/', 'name: Greg Grunberg', '}']",40000000.0,82522790.0,215862692.0,4,13 November 1992,tt0021814,Dracula,75,"Drama,Fantasy,Horror",6109526.0,13858731.0,157,22,2004-08-01,265631.5652173913,57.79478260869565,0.583208695652174,96.03260869565216,1029.0,1992-01-01,4.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,26452,Dream,126.0,"['Deepti', 'Rajendra Prasad', 'Pavani Reddy']",['Bhavani Shankar Kaipa'],Not found,0.0,"['contentRating: R', 'actor:', '{', '@type: Person', 'url: /name/nm0000198/', 'name: Gary Oldman', '}', '{', '@type: Person', 'url: /name/nm0000213/', 'name: Winona Ryder', '}', '{', '@type: Person', 'url: /name/nm0000164/', 'name: Anthony Hopkins', '}', '{', '@type: Person', 'url: /name/nm0000206/', 'name: Keanu Reeves', '}']",15416575.479447385,30864815.686653666,56962098.78791681,0,26 October 2012,tt0279792,Dream,\N,"Comedy,Drama,Romance",3311853.0,2486000.0,109,24,1997-03-16,194814.8823529412,39.33176470588236,0.6153176470588235,70.0,1036.0,2012-01-01,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,532,Dreamgirls,130.0,"['Beyoncé', 'Jamie Foxx', 'Eddie Murphy']",['Bill Condon'],Dreamgirls,0.0,"['actor:', '{', '@type: Person', 'url: /name/nm5557772/', 'name: Deepti', '}', '{', '@type: Person', 'url: /name/nm0707399/', 'name: Rajendra Prasad', '}', '{', '@type: Person', 'url: /name/nm5439139/', 'name: Pavani Reddy', '}']",70000000.0,103365956.0,155430335.0,3,25 December 2006,tt0443489,Dreamgirls,130,"Drama,Music,Musical",4492189.0,0.0,178,7,1987-06-28,195312.5652173913,29.08913043478261,0.7687434782608696,,1085.0,2006-01-01,3.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,25245,Driving Miss Daisy,99.0,"['Morgan Freeman', 'Jessica Tandy', 'Dan Aykroyd']",['Bruce Beresford'],Driving Miss Daisy,0.0,"['Drama', 'Music', 'Musical']",7500000.0,106593296.0,145793296.0,2,26 January 1990,tt0097239,Driving Miss Daisy,99,Drama,13586627.0,18909125.0,180,20,2010-10-10,503208.4074074074,101.7374074074074,0.8188185185185188,300.0,804.0,1990-01-01,2.0,Drama,Music,Musical,,,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
170,26825,Eclipsed,63.0,"['Kanika Gupta', 'Shatadipa Ghosh', 'Ishan Singh']",['Aditya Chowdhury'],Not found,0.0,"['contentRating: PG', 'actor:', '{', '@type: Person', 'url: /name/nm0000151/', 'name: Morgan Freeman', '}', '{', '@type: Person', 'url: /name/nm0001788/', 'name: Jessica Tandy', '}', '{', '@type: Person', 'url: /name/nm0000101/', 'name: Dan Aykroyd', '}', '{', '@type: Person', 'url: /name/nm0526985/', 'name: Patti LuPone', '}']",15156887.675110921,33833840.217342,59709038.76352693,0,Not found,tt8232264,Eclipsed,\N,Documentary,5744141.48,13572055.0,121,14,2016-02-28,337890.6752941176,73.86823529411764,0.7214470588235293,198.0,802.0,1984-01-01,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,23820,Electra,105.0,"['Fiet Dekker', 'Coen Flink', 'Lo van Hensbergen']",['Jan Retèl'],Not found,0.0,"['Drama', 'Fantasy', 'Sci-Fi']",15340587.98814322,31935253.20482292,58085483.300414145,0,30 April 1967,tt0112942,Electra,87,"Action,Sci-Fi,Thriller",4629683.0,6689609.0,116,15,1998-11-22,257204.6111111111,41.804444444444435,0.7588944444444445,60.0,1086.0,1967-01-01,0.0,Drama,Fantasy,Sci-Fi,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
