,Unnamed: 0,title,FILM_runtime,FILM_stars,FILM_directors,FILM_filming_locations,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres.1,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_mpaa_rating_number,FILM_stars1,FILM_stars2,FILM_stars3,FILM_directors1,FILM_directors2,FILM_directors3
2355,11084,Chaplin,,,,,,,,,,,,,tt2040306,Chaplin,123,Drama,8518390.0,19379504.0,135,24,2012-08-26,72.1605,0.70998,193.5,1045.0,,,,,,,
2356,11087,A Few Good Men,,,,,,,,,,,,,tt0104257,A Few Good Men,138,"Drama,Thriller",7729208.0,0.0,497,15,1989-11-05,23.665692307692307,0.6400784615384616,,997.0,,,,,,,
2357,11098,A Few Good Men,,,,,,,,,,,,,tt5640036,A Few Good Men,\N,Drama,7729208.0,0.0,497,15,1989-11-05,23.665692307692307,0.6400784615384616,,997.0,,,,,,,
2358,11102,Glengarry Glen Ross,,,,,,,,,,,,,tt0104348,Glengarry Glen Ross,100,"Crime,Drama,Mystery",22834337.0,27722121.0,182,75,2005-04-10,97.18,0.8486342857142857,194.75,1075.0857142857142,,,,,,,
2359,11103,Honeymoon in Vegas,,,,,,,,,,,,,tt0104438,Honeymoon in Vegas,96,"Comedy,Romance,Thriller",7609536.0,22651638.0,93,66,2014-11-23,65.77350000000001,0.6394650000000001,223.0,1160.0,,,,,,,
2360,11107,Prelude to a Kiss,,,,,,,,,,,,,tt0105165,Prelude to a Kiss,105,"Comedy,Fantasy,Romance",7606123.0,4105416.0,501,31,1990-04-29,32.6944776119403,0.751855223880597,86.25,582.8955223880598,,,,,,,
2361,11115,The Road to Mecca,,,,,,,,,,,,,tt0105266,The Road to Mecca,105,Drama,2082656.0,7202700.0,56,34,2011-12-18,48.475,0.6440166666666666,,727.0,,,,,,,
2362,11116,Sister Act,,,,,,,,,,,,,tt0105417,Sister Act,100,"Comedy,Crime,Family",52509237.0,109166803.0,561,28,2011-03-27,72.5218666666667,0.7287200000000001,200.0,1694.493333333333,,,,,,,
2363,11145,Sister Act,,,,,,,,,,,,,tt4738678,Sister Act,\N,Comedy,52509237.0,109166803.0,561,28,2011-03-27,72.5218666666667,0.7287200000000001,200.0,1694.493333333333,,,,,,,
2364,11156,Blood Brothers,,,,,,,,,,,,,tt0106430,Silent Witness: What a Child Saw,80,"Crime,Drama",20752831.0,0.0,840,13,1993-04-18,37.129345794392535,0.6565299065420561,,992.0,,,,,,,
2365,11158,Blood Brothers,,,,,,,,,,,,,tt0400239,Blood Brothers,53,Documentary,20752831.0,0.0,840,13,1993-04-18,37.129345794392535,0.6565299065420561,,992.0,,,,,,,
2366,11183,Blood Brothers,,,,,,,,,,,,,tt10577878,Blood Brothers,\N,Drama,20752831.0,0.0,840,13,1993-04-18,37.129345794392535,0.6565299065420561,,992.0,,,,,,,
2367,11186,Blood Brothers,,,,,,,,,,,,,tt11227568,Blood Brothers,50,Horror,20752831.0,0.0,840,13,1993-04-18,37.129345794392535,0.6565299065420561,,992.0,,,,,,,
2368,11190,Blood Brothers,,,,,,,,,,,,,tt11890842,Blood Brothers,\N,Drama,20752831.0,0.0,840,13,1993-04-18,37.129345794392535,0.6565299065420561,,992.0,,,,,,,
2369,11196,Blood Brothers,,,,,,,,,,,,,tt12734478,Blood Brothers,\N,Mystery,20752831.0,0.0,840,13,1993-04-18,37.129345794392535,0.6565299065420561,,992.0,,,,,,,
2370,11206,Blood Brothers,,,,,,,,,,,,,tt1866116,Blood Brothers,90,"Crime,Drama",20752831.0,0.0,840,13,1993-04-18,37.129345794392535,0.6565299065420561,,992.0,,,,,,,
2371,11207,Blood Brothers,,,,,,,,,,,,,tt1972608,Blood Brothers,\N,Thriller,20752831.0,0.0,840,13,1993-04-18,37.129345794392535,0.6565299065420561,,992.0,,,,,,,
2372,11227,Blood Brothers,,,,,,,,,,,,,tt3532200,Blood Brothers,45,"Drama,Mystery,Thriller",20752831.0,0.0,840,13,1993-04-18,37.129345794392535,0.6565299065420561,,992.0,,,,,,,
2373,11234,Blood Brothers,,,,,,,,,,,,,tt4258214,Blood Brothers,85,Crime,20752831.0,0.0,840,13,1993-04-18,37.129345794392535,0.6565299065420561,,992.0,,,,,,,
