,Unnamed: 0,title,FILM_runtime,FILM_stars,FILM_directors,FILM_filming_locations,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres.1,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_weekly_gross,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_release_year,FILM_mpaa_rating_number
25112,25112,Dirty Rotten Scoundrels,110.0,"['Steve Martin', 'Michael Caine', 'Glenne Headly']",['Frank Oz'],"Alpes-Maritimes, France",Dirty Rotten Scoundrels,1.0,"['Comedy', 'Crime']",,42039085.0,42039085.0,2,14 December 1988,tt0095031,Dirty Rotten Scoundrels,110,"Comedy,Crime",58033865.0,78671357.0,627,36,2005-02-06,699203.1927710844,71.36253012048192,0.8491710843373494,175.34638554216866,1435.0,1988-01-01,2
25124,25124,High Fidelity,113.0,"['John Cusack', 'Iben Hjejle', 'Todd Louiso']",['Stephen Frears'],"Chicago, Illinois, USA",High Fidelity,1.0,"['Comedy', 'Drama', 'Music', 'Romance']",30000000.0,27287137.0,47126295.0,4,31 March 2000,tt0095301,High Fidelity,85,"Biography,Documentary,Music",1096116.0,3925972.0,13,19,2006-11-26,274029.0,54.755,0.436,251.25,1435.0,2000-01-01,4
25125,25125,High Fidelity,113.0,"['John Cusack', 'Iben Hjejle', 'Todd Louiso']",['Stephen Frears'],"Chicago, Illinois, USA",High Fidelity,1.0,"['Comedy', 'Drama', 'Music', 'Romance']",30000000.0,27287137.0,47126295.0,4,31 March 2000,tt0146882,High Fidelity,113,"Comedy,Drama,Music",1096116.0,3925972.0,13,19,2006-11-26,274029.0,54.755,0.436,251.25,1435.0,2000-01-01,4
25132,25132,Leap of Faith,108.0,"['Steve Martin', 'Debra Winger', 'Lolita Davidovich']",['Richard Pearce'],"Building One, Studios at Las Colinas - 6301 North O'Connor Road, Irving, Texas, USA",Leap of Faith,0.0,"['Comedy', 'Drama', 'Romance']",,23369283.0,23369283.0,3,18 December 1992,tt0095507,Leap of Faith,97,Drama,1343840.0,7711360.0,19,25,2012-04-08,223973.3333333333,26.835000000000004,0.8375500000000001,225.0,1367.0,1992-01-01,3
25133,25133,Leap of Faith,108.0,"['Steve Martin', 'Debra Winger', 'Lolita Davidovich']",['Richard Pearce'],"Building One, Studios at Las Colinas - 6301 North O'Connor Road, Irving, Texas, USA",Leap of Faith,0.0,"['Comedy', 'Drama', 'Romance']",,23369283.0,23369283.0,3,18 December 1992,tt0104695,Leap of Faith,108,"Comedy,Drama,Romance",1343840.0,7711360.0,19,25,2012-04-08,223973.3333333333,26.835000000000004,0.8375500000000001,225.0,1367.0,1992-01-01,3
25134,25134,Leap of Faith,108.0,"['Steve Martin', 'Debra Winger', 'Lolita Davidovich']",['Richard Pearce'],"Building One, Studios at Las Colinas - 6301 North O'Connor Road, Irving, Texas, USA",Leap of Faith,0.0,"['Comedy', 'Drama', 'Romance']",,23369283.0,23369283.0,3,18 December 1992,tt12264482,Leap of Faith,46,Documentary,1343840.0,7711360.0,19,25,2012-04-08,223973.3333333333,26.835000000000004,0.8375500000000001,225.0,1367.0,1992-01-01,3
25135,25135,Leap of Faith,108.0,"['Steve Martin', 'Debra Winger', 'Lolita Davidovich']",['Richard Pearce'],"Building One, Studios at Las Colinas - 6301 North O'Connor Road, Irving, Texas, USA",Leap of Faith,0.0,"['Comedy', 'Drama', 'Romance']",,23369283.0,23369283.0,3,18 December 1992,tt1547042,Leap of Faith,95,Documentary,1343840.0,7711360.0,19,25,2012-04-08,223973.3333333333,26.835000000000004,0.8375500000000001,225.0,1367.0,1992-01-01,3
25136,25136,Leap of Faith,108.0,"['Steve Martin', 'Debra Winger', 'Lolita Davidovich']",['Richard Pearce'],"Building One, Studios at Las Colinas - 6301 North O'Connor Road, Irving, Texas, USA",Leap of Faith,0.0,"['Comedy', 'Drama', 'Romance']",,23369283.0,23369283.0,3,18 December 1992,tt5013948,Leap of Faith,\N,Documentary,1343840.0,7711360.0,19,25,2012-04-08,223973.3333333333,26.835000000000004,0.8375500000000001,225.0,1367.0,1992-01-01,3
25137,25137,Leap of Faith,108.0,"['Steve Martin', 'Debra Winger', 'Lolita Davidovich']",['Richard Pearce'],"Building One, Studios at Las Colinas - 6301 North O'Connor Road, Irving, Texas, USA",Leap of Faith,0.0,"['Comedy', 'Drama', 'Romance']",,23369283.0,23369283.0,3,18 December 1992,tt7127058,Leap of Faith,\N,Thriller,1343840.0,7711360.0,19,25,2012-04-08,223973.3333333333,26.835000000000004,0.8375500000000001,225.0,1367.0,1992-01-01,3
25201,25201,Souvenir,90.0,"['Isabelle Huppert', 'Kévin Azaïs', 'Johan Leysen']",['Bavo Defurne'],Not found,Souvenir,0.0,"['Drama', 'Music', 'Romance']",,11411.0,359798.0,0,21 December 2016,tt0096148,Souvenir,93,Drama,945935.0,4356023.0,68,14,2005-10-30,85994.09090909091,43.12727272727273,0.3761909090909091,86.25,712.1818181818181,2016-01-01,0
