,index,title,FILM_runtime,FILM_stars,FILM_directors,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_mpaa_rating_number,FILM_release_year
13,406,Mary Poppins,139.0,"['Julie Andrews', 'Dick Van Dyke', 'David Tomlinson']",['Robert Stevenson'],Mary Poppins,0.0,"['Comedy', 'Family', 'Fantasy', 'Musical']",6000000.0,102272727.0,103082283.0,1,18 June 1965,tt0058331,Mary Poppins,139,"Comedy,Family,Fantasy",294558648.0,431551587.0,2619,30,2006-10-15,75.26284431137726,0.8156053892215572,203.17065868263472,1795.814371257485,1,1965-01-01
14,407,Chicago,113.0,"['Renée Zellweger', 'Catherine Zeta-Jones', 'Richard Gere']",['Rob Marshall'],Chicago: The Musical,0.0,"['Comedy', 'Crime', 'Musical']",45000000.0,170687518.0,306776732.0,3,24 January 2003,tt0017750,Chicago,118,"Comedy,Crime,Drama",679882488.8499993,1011836202.5,9674,25,1996-10-27,72.58772577996714,0.8270306239737271,176.23972884141332,1178.9466338259442,3,2003-01-01
15,455,Little Shop of Horrors,94.0,"['Rick Moranis', 'Ellen Greene', 'Vincent Gardenia']",['Frank Oz'],Little Shop of Horrors,2.0,"['Comedy', 'Horror', 'Musical', 'Romance', 'Sci-Fi']",25000000.0,38982260.0,38982260.0,3,19 December 1986,tt0091419,Little Shop of Horrors,94,"Comedy,Horror,Musical",20607589.0,40431149.0,372,40,2003-08-31,58.518846153846155,0.705225,204.0,1209.9807692307693,3,1986-01-01
16,457,Moulin Rouge!,127.0,"['Nicole Kidman', 'Ewan McGregor', 'John Leguizamo']",['Baz Luhrmann'],Moulin Rouge,0.0,"['Drama', 'Musical', 'Romance']",50000000.0,57386607.0,184935030.0,3,1 June 2001,tt0203009,Moulin Rouge!,127,"Drama,Musical,Romance",70745676.25,62790602.0,252,24,2019-06-30,196.69388888888884,1.0045722222222218,510.1111111111111,1302.0,3,2001-01-01
17,458,Cry-Baby,85.0,"['Johnny Depp', 'Ricki Lake', 'Amy Locane']",['John Waters'],Cry-Baby,0.0,"['Comedy', 'Musical']",11000000.0,8266343.0,8266343.0,3,6 April 1990,tt0099329,Cry-Baby,85,"Comedy,Musical",4077104.0,13626133.0,68,45,2008-03-16,34.24066666666667,0.6921333333333333,250.0,1592.6,3,1990-01-01
18,459,The Little Mermaid,83.0,"['Jodi Benson', 'Samuel E. Wright', 'Rene Auberjonois']","['Ron Clements', 'John Musker']",The Little Mermaid 3D,0.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",40000000.0,111543479.0,274191153.0,1,17 November 1989,tt0097757,The Little Mermaid,83,"Animation,Family,Fantasy",82893600.0,102444402.0,685,50,2007-11-04,81.58677083333328,0.8683572916666664,250.6875,1485.6041666666667,1,1989-01-01
19,474,The Producers,134.0,"['Nathan Lane', 'Matthew Broderick', 'Uma Thurman']",['Susan Stroman'],The Producers: The Movie Musical,4.0,"['Comedy', 'Crime', 'Musical']",45000000.0,19398532.0,38075318.0,3,25 December 2005,tt0063462,The Producers,88,"Comedy,Music",288361724.0,329102358.0,2502,33,2001-03-25,77.60301886792452,0.8492138364779876,325.6477987421384,1705.2201257861636,3,2005-01-01
20,476,The Phantom of the Opera,143.0,"['Gerard Butler', 'Emmy Rossum', 'Patrick Wilson']",['Joel Schumacher'],Andrew Lloyd Webber's The Phantom of the Opera,3.0,"['Drama', 'Musical', 'Romance', 'Thriller']",70000000.0,51268815.0,154648887.0,3,10 December 2004,tt0016220,The Phantom of the Opera,93,Horror,1251492673.92,1326206455.0,13350,16,1988-01-10,65.38144901610016,0.8971247465712592,158.3267441860465,1605.7978533094813,3,2004-01-01
21,484,Into the Woods,125.0,"['Anna Kendrick', 'Meryl Streep', 'Chris Pine']",['Rob Marshall'],Into the Woods,3.0,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Musical']",50000000.0,128002372.0,212902372.0,2,25 December 2014,tt2180411,Into the Woods,125,"Adventure,Comedy,Drama",44583029.0,28267697.0,1044,61,1987-10-04,42.91050359712228,0.7803820143884889,100.20394736842105,1241.8129496402878,2,2014-01-01
22,492,Annie,127.0,"['Aileen Quinn', 'Albert Finney', 'Carol Burnett']",['John Huston'],Annie,2.0,"['Comedy', 'Drama', 'Family', 'Musical']",50000000.0,57059003.0,57059003.0,2,18 June 1982,tt0083564,Annie,126,"Comedy,Drama,Family",71888793.0,103647604.0,726,52,1997-03-16,74.16367346938773,0.7614836734693876,192.85714285714286,1565.7142857142858,2,1982-01-01
23,527,Hairspray,117.0,"['John Travolta', 'Queen Latifah', 'Nikki Blonsky']",['Adam Shankman'],Hairspray,3.0,"['Comedy', 'Drama', 'Musical', 'Romance']",75000000.0,118871849.0,203552922.0,2,20 July 2007,tt0095270,Hairspray,92,"Comedy,Drama,Family",252181270.0,331336259.0,2642,31,2002-07-21,72.54292899408284,0.8907183431952668,257.0414201183432,1419.0650887573966,2,2007-01-01
24,531,Singin' in the Rain,103.0,"['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds']","['Stanley Donen', 'Gene Kelly']",Singin' in the Rain,2.0,"['Comedy', 'Musical', 'Romance']",2540800.0,1826108.0,1864182.0,1,11 April 1952,tt0045152,Singin' in the Rain,103,"Comedy,Musical,Romance",13123571.0,0.0,367,31,1985-06-09,30.186000000000007,0.562416,193.88881378501034,1933.0,1,1952-01-01
25,532,Dreamgirls,130.0,"['Beyoncé', 'Jamie Foxx', 'Eddie Murphy']",['Bill Condon'],Dreamgirls,0.0,"['Drama', 'Music', 'Musical']",70000000.0,103365956.0,155430335.0,3,25 December 2006,tt0443489,Dreamgirls,130,"Drama,Music,Musical",4492189.0,0.0,178,7,1987-06-28,29.08913043478261,0.7687434782608696,193.88881378501034,1085.0,3,2006-01-01
26,533,Anastasia,94.0,"['Meg Ryan', 'John Cusack', 'Christopher Lloyd']","['Don Bluth', 'Gary Goldman']",The Music Box,2.0,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Musical', 'Mystery', 'Romance']",50000000.0,58406347.0,139804348.0,1,21 November 1997,tt0048947,Anastasia,105,"Biography,Drama,History",93439878.63999996,117147893.0,808,34,2017-03-26,105.25273584905665,0.9166688679245278,309.57547169811323,1143.0,1,1997-01-01
27,538,In the Heights,103.70863291758376,"['Lin-Manuel Miranda', 'Stephanie Beatriz', 'Anthony Ramos']",['Jon M. Chu'],In the Heights,0.0,"['Drama', 'Music', 'Musical', 'Romance']",18702908.00559317,66692670.50105042,117460103.96547368,3,18 June 2021,tt1321510,In the Heights,\N,"Drama,Music,Musical",105302946.0,160515670.0,1184,29,2008-02-17,78.9046052631579,0.8063164473684212,290.4605263157895,1352.4276315789473,3,2021-01-01
28,539,The Prom,103.70863291758376,"['Nicole Kidman', 'Meryl Streep', 'Kerry Washington']",['Ryan Murphy'],The Prom,0.0,"['Comedy', 'Musical']",18702908.00559317,66692670.50105042,117460103.96547368,3,11 December 2020,tt0105180,The Prom,49,Drama,25012263.059999995,44711192.0,309,23,2018-10-28,84.0245238095238,0.853897619047619,254.14285714285714,1042.1666666666667,3,2020-01-01
29,543,Newsies,121.0,"['Christian Bale', 'Bill Pullman', 'Robert Duvall']",['Kenny Ortega'],Newsies,0.0,"['Drama', 'Family', 'History', 'Musical']",15000000.0,2819485.0,2819485.0,2,10 April 1992,tt0104990,Newsies,121,"Drama,Family,History",109000717.0,135623764.0,1004,16,2012-03-18,93.72093749999999,0.9525921874999996,199.0,1189.78125,2,1992-01-01
30,544,Rock of Ages,123.0,"['Julianne Hough', 'Diego Boneta', 'Tom Cruise']",['Adam Shankman'],Rock of Ages,0.0,"['Comedy', 'Drama', 'Musical', 'Romance']",75000000.0,38518613.0,59418613.0,3,15 June 2012,tt0236690,Rock of Ages,\N,"Drama,Romance",128993202.0,189018483.0,2328,22,2009-03-22,88.7947796610169,0.8853155932203385,223.19387755102042,715.7728813559322,3,2012-01-01
31,549,Cinderella,74.0,"['Ilene Woods', 'James MacDonald', 'Eleanor Audley']","['Clyde Geronimi', 'Wilfred Jackson']",Cinderella,3.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",2900000.0,93141149.0,95126535.0,1,4 March 1950,tt0003772,Cinderella,52,"Drama,Fantasy",88166620.0,155622653.0,769,41,2013-01-27,83.7443137254902,0.7440107843137255,297.0,1732.764705882353,1,1950-01-01
32,4989,My Fair Lady,170.0,"['Audrey Hepburn', 'Rex Harrison', 'Stanley Holloway']",['George Cukor'],My Fair Lady,0.0,"['Drama', 'Family', 'Musical', 'Romance']",17000000.0,72560711.0,72661442.0,1,25 December 1964,tt0058385,My Fair Lady,170,"Drama,Family,Musical",79772271.52000001,95550718.0,674,55,1993-11-28,109.69184782608696,0.9066315217391306,327.5507246376812,1110.0,1,1964-01-01
33,5009,Cabaret,124.0,"['Liza Minnelli', 'Michael York', 'Helmut Griem']",['Bob Fosse'],Cabaret,0.0,"['Drama', 'Musical']",6000000.0,66692670.50105042,117460103.96547368,2,13 February 1972,tt0017724,Cabaret,70,"Crime,Drama",170760188.0,212162390.0,3026,90,1987-10-11,67.2328498727736,0.893687277353689,137.00879765395894,933.1475826972011,2,1972-01-01
34,5128,Rent,135.0,"['Taye Diggs', 'Wilson Jermaine Heredia', 'Rosario Dawson']",['Chris Columbus'],Rent,0.0,"['Drama', 'Musical', 'Romance']",40000000.0,29077547.0,31670620.0,3,23 November 2005,tt0294870,Rent,135,"Drama,Musical,Romance",274248128.0,329200908.0,5123,16,1996-04-21,53.94166924265849,0.8254459041731069,113.83693972179289,1176.4219474497681,3,2005-01-01
35,5129,Peter Pan,77.0,"['Bobby Driscoll', 'Kathryn Beaumont', 'Hans Conried']","['Clyde Geronimi', 'Wilfred Jackson']",Peter Pan,0.0,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Musical']",4000000.0,87404651.0,87404651.0,1,5 February 1953,tt0015224,Peter Pan,105,"Adventure,Family,Fantasy",18120049.0,23533338.0,307,8,1990-12-16,42.75125,0.7564525000000001,75.0,1761.95,1,1953-01-01
36,5137,Fiddler on the Roof,181.0,"['Topol', 'Norma Crane', 'Leonard Frey']",['Norman Jewison'],Fiddler on the Roof,0.0,"['Drama', 'Family', 'Musical', 'Romance']",9000000.0,10404330.0,10404330.0,1,3 November 1971,tt0067093,Fiddler on the Roof,181,"Drama,Family,Musical",119650286.21999998,197560219.0,1446,88,1990-11-04,64.31793814432986,0.6982298969072162,147.2049689440994,1733.2835051546392,1,1971-01-01
37,5139,Nine,118.0,"['Daniel Day-Lewis', 'Marion Cotillard', 'Penélope Cruz']",['Rob Marshall'],Untitled Rob Marshall Project,4.0,"['Drama', 'Musical', 'Romance']",80000000.0,19676965.0,54004950.0,3,25 December 2009,tt0308651,Nine,60,Documentary,24448759.0,24643302.0,283,23,2003-03-23,80.49410256410255,0.9419564102564103,197.23076923076923,1049.0,3,2009-01-01
38,5143,Xanadu,96.0,"['Olivia Newton-John', 'Gene Kelly', 'Michael Beck']",['Robert Greenwald'],Xanadu,0.0,"['Fantasy', 'Musical', 'Romance']",20000000.0,22762571.0,22762571.0,2,8 August 1980,tt0081777,Xanadu,96,"Fantasy,Musical,Romance",17126310.0,35130630.0,512,49,2007-05-27,70.22971830985915,0.7217295774647886,226.25,595.943661971831,2,1980-01-01
39,5146,"Hello, Dolly!",146.0,"['Barbra Streisand', 'Walter Matthau', 'Michael Crawford']",['Gene Kelly'],"Ernest Lehman's Production of Hello, Dolly!",0.0,"['Adventure', 'Comedy', 'Musical', 'Romance']",25000000.0,400881.0,400881.0,1,16 December 1969,tt0064418,"Hello, Dolly!",146,"Adventure,Comedy,Musical",134658554.52,122840960.0,666,45,1995-10-15,136.8510869565217,0.9349076086956521,510.6630434782609,1441.391304347826,1,1969-01-01
40,5147,Jesus Christ Superstar,106.0,"['Ted Neeley', 'Carl Anderson', 'Yvonne Elliman']",['Norman Jewison'],Jesus Christ Superstar,1.0,"['Drama', 'History', 'Musical']",18702908.00559317,66692670.50105042,105659.0,1,15 August 1973,tt0070239,Jesus Christ Superstar,106,"Drama,History,Musical",22167426.0,43438297.0,277,52,2000-03-26,59.12928571428572,0.7280785714285715,131.71428571428572,1641.642857142857,1,1973-01-01
