,Unnamed: 0,title,runtime,stars,directors,filming_location,aka,oscars_won,genres,budget,domestic_gross,worldwide_gross,mpaa_rating,release
1998,1998,Ichabod!,70,"[""Peter O'Meara"", 'Nathan Anderson', 'Bob Gunton']",['Rick Ramage'],"Denver, Colorado, USA",Ichabod! The Legend of Sleepy Hollow,0,"['Family', 'Musical']","$1,500,000
            ",Not found,Not found,,16 October 2004 (USA)
1999,1999,Three Smart Girls Grow Up,90,"['Deanna Durbin', 'Charles Winninger', 'Nan Grey']",['Henry Koster'],"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",3 Smart Girls Grow Up,0,"['Comedy', 'Musical']",Not found,Not found,Not found,Unrated,24 March 1939 (USA)
2000,2000,What a Crazy World,88,"['Michael Goodman', 'Joe Brown', 'Susan Maughan']",['Michael Carreras'],"The Elstree Studios of Associated British Picture Corporation, Hertfordshire, England, UK",Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0329179/', 'name: Michael Goodman', '}', '{', '@type: Person', 'url: /name/nm0113865/', 'name: Joe Brown', '}', '{', '@type: Person', 'url: /name/nm0560856/', 'name: Susan Maughan', '}', '{', '@type: Person', 'url: /name/nm0289735/', 'name: Grazina Frame', '}']",Not found,Not found,Not found,,5 December 1963 (UK)
2001,2001,Kaun Hai Jo Sapno Mein Aaya,127,"['Richa Pallod', 'Anupam Kher', 'Kader Khan']",['Rajesh Bhatt'],"Caerphilly Castle, Caerphilly, Wales, UK",Who Is in My Dream?,0,"['actor: [', '{', '@type: Person', 'url: /name/nm1213700/', 'name: Richa Pallod', '}', '{', '@type: Person', 'url: /name/nm0451600/', 'name: Anupam Kher', '}', '{', '@type: Person', 'url: /name/nm0434318/', 'name: Kader Khan', '}', '{', '@type: Person', 'url: /name/nm1290995/', 'name: Usha Bachani', '}']",Not found,Not found,Not found,,January 2004 (India)
2002,2002,ZsaZsa Zaturnnah Ze Moveeh,114,"['Zsa Zsa Padilla', 'Bb Gandanghari', 'Pops Fernandez']",['Joel Lamangan'],Not found,Ang Kagilagilalas na pakikipagsapalaran ni ZsaZsa Zaturnnah,0,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Musical', 'Sci-Fi']",Not found,Not found,Not found,,25 December 2006 (Philippines)
2003,2003,Broadway Babies,86,"['Alice White', 'Marion Byron', 'Sally Eilers']",['Mervyn LeRoy'],"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",Broadway Daddies,0,"['Drama', 'Musical']",Not found,Not found,Not found,Unrated,20 January 1930 (Denmark)
2004,2004,Aapko Pehle Bhi Kahin Dekha Hai,145,"['Priyanshu Chatterjee', 'Sakshi Shivanand', 'Farida Jalal']",['Anubhav Sinha'],"Calgary, Alberta, Canada",Not found,0,"['Action', 'Comedy', 'Drama', 'Musical', 'Romance']",Not found,Not found,Not found,Not Rated,10 January 2003 (India)
2005,2005,Molly and Me,77,"['Gracie Fields', 'Monty Woolley', 'Roddy McDowall']",['Lewis Seiler'],"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",Comediantes de Alcova,0,"['Comedy', 'Musical']",Not found,Not found,Not found,Not Rated,21 October 1946 (Portugal)
2006,2006,Dunderklumpen!,97,"['Beppe Wolgers', 'Jens Wolgers', 'Halvar Björk']",['Per Åhlin'],"Ströms vattudal, Jämtlands län, Sweden",Dunder Klumpen,0,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Musical']",Not found,Not found,"$5,869",G,1 January 1977 (USA)
2007,2007,Shukriya: Till Death Do Us Apart,144,"['Anupam Kher', 'Aftab Shivdasani', 'Shriya Saran']",['Anupam Sinha'],Not found,Eine schicksalhafte Begegnung,0,"['Musical', 'Drama', 'Family', 'Romance']",Not found,Not found,Not found,,8 October 2004 (India)
2008,2008,"Stockholm, My Love",88,['Neneh Cherry'],['Mark Cousins'],"Stockholm, Stockholms län, Sweden","Estocolmo, meu Amor",0,"['Drama', 'Musical']",Not found,Not found,"$16,241",,24 March 2017 (Sweden)
2009,2009,Die Deutschmeister,106,"['Romy Schneider', 'Magda Schneider', 'Gretl Schörg']",['Ernst Marischka'],"St. Wolfgang, Upper Austria, Austria",A March for the Emperor,0,"['Musical', 'Romance']",Not found,Not found,Not found,,21 September 1955 (Austria)
2010,2010,Tonight We Sing,109,"['David Wayne', 'Ezio Pinza', 'Roberta Peters']",['Mitchell Leisen'],"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",Götter ohne Maske,0,"['contentRating: Approved', 'actor: [', '{', '@type: Person', 'url: /name/nm0915536/', 'name: David Wayne', '}', '{', '@type: Person', 'url: /name/nm0684753/', 'name: Ezio Pinza', '}', '{', '@type: Person', 'url: /name/nm0676654/', 'name: Roberta Peters', '}', '{', '@type: Person', 'url: /name/nm0000843/', 'name: Anne Bancroft', '}']",Not found,Not found,Not found,Approved,26 January 1953 (USA)
2011,2011,Gavilán o paloma,110,"['José José', 'Christian Bach', 'Gina Romand']",['Alfredo Gurrola'],Not found,Not found,0,"['Drama', 'Musical']",Not found,Not found,Not found,PG,19 September 1985 (Mexico)
2012,2012,His Father's Voice,105,"['Asha Bhola', 'Christopher Gurusamy', 'Julia Koch']",['K. Kaarthikeyan'],Not found,His Father's Voice,0,"['Drama', 'Musical', 'Romance']",Not found,Not found,Not found,,19 April 2019 (USA)
2013,2013,Young Man of Manhattan,79,"['Claudette Colbert', 'Norman Foster', 'Ginger Rogers']",['Monta Bell'],"New York City, New York, USA",Inconstância,0,"['Comedy', 'Musical', 'Romance', 'Sport']",Not found,Not found,Not found,Passed,17 May 1930 (USA)
2014,2014,¿Qué te ha dado esa mujer?,100,"['Pedro Infante', 'Luis Aguilar', 'Rosita Arenas']",['Ismael Rodríguez'],Not found,Que te deu essa mulher?,0,"['Comedy', 'Drama', 'Musical', 'Romance']",Not found,Not found,Not found,,20 December 1951 (Mexico)
2015,2015,Style,160,"['Nagarjuna Akkineni', 'Bhanuchander', 'Chiranjeevi']","['Lawrence Raghavendra', 'A.V. Ratnam']",Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0015459/', 'name: Nagarjuna Akkineni', '}', '{', '@type: Person', 'url: /name/nm0080223/', 'name: Bhanuchander', '}', '{', '@type: Person', 'url: /name/nm0158112/', 'name: Chiranjeevi', '}', '{', '@type: Person', 'url: /name/nm6642302/', 'name: Keshav Deepak', '}']",Not found,Not found,Not found,,12 January 2006 (India)
2016,2016,The Florodora Girl,79,"['Marion Davies', 'Lawrence Gray', 'Walter Catlett']",['Harry Beaumont'],"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",The Florodora Girl (A Story of the Gay Nineties),0,"['Drama', 'Musical', 'Romance']",Not found,Not found,Not found,Passed,31 May 1930 (USA)
2017,2017,The Lion,66,['Benjamin Scheuer'],"['Kevin Bright', 'Sean Daniels']",Not found,Not found,0,"['contentRating: Not Rated', 'actor: {', '@type: Person', 'url: /name/nm5760510/', 'name: Benjamin Scheuer', '}', 'director: [', '{', '@type: Person', 'url: /name/nm0109159/', 'name: Kevin Bright', '}', '{', '@type: Person', 'url: /name/nm9034135/', 'name: Sean Daniels', '}']",Not found,Not found,Not found,Not Rated,6 December 2018 (USA)
2018,2018,My Wild Irish Rose,101,"['Dennis Morgan', 'Andrea King', 'Arlene Dahl']",['David Butler'],"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",My Wild Irish Rose,1,"['Biography', 'Musical']",Not found,Not found,Not found,Approved,27 December 1947 (USA)
2019,2019,Ghetu Putro Komola,101,"['Mamun', 'Tariq Anam Khan', 'Munmun Ahmed']",['Humayun Ahmed'],"Habiganj District, Sylhet Division, Bangladesh",Pleasure Boy Komola,0,"['Drama', 'Musical']",Not found,Not found,Not found,,7 September 2012 (Bangladesh)
2020,2020,National Theatre Live: Amadeus,206,"['Lucian Msamati', 'Adam Gillen', 'Karla Crome']","['Michael Longhurst', 'Tim Van Someren']",Not found,National Theatre Live: Amadeus,0,"['Comedy', 'Drama', 'Musical']",Not found,Not found,Not found,,3 February 2017 (USA)
2021,2021,Happy Days,80,"['Charles E. Evans', 'Marjorie White', 'Richard Keene']",['Benjamin Stoloff'],Not found,Dias Felizes,0,"['contentRating: Passed', 'actor: [', '{', '@type: Person', 'url: /name/nm0262628/', 'name: Charles E. Evans', '}', '{', '@type: Person', 'url: /name/nm0925175/', 'name: Marjorie White', '}', '{', '@type: Person', 'url: /name/nm0444708/', 'name: Richard Keene', '}', '{', '@type: Person', 'url: /name/nm0260020/', 'name: Stuart Erwin', '}']",Not found,Not found,Not found,Passed,13 February 1930 (USA)
2022,2022,Sunny,98,"['Anna Neagle', 'Ray Bolger', 'John Carroll']",['Herbert Wilcox'],"RKO Studios - 780 N. Gower Street, Hollywood, Los Angeles, California, USA",Mardi gras,1,"['contentRating: Passed', 'actor: [', '{', '@type: Person', 'url: /name/nm0623554/', 'name: Anna Neagle', '}', '{', '@type: Person', 'url: /name/nm0001961/', 'name: Ray Bolger', '}', '{', '@type: Person', 'url: /name/nm0140865/', 'name: John Carroll', '}', '{', '@type: Person', 'url: /name/nm0002143/', 'name: Edward Everett Horton', '}']",Not found,Not found,Not found,Passed,30 May 1941 (USA)
2023,2023,Alyosha Popovich i Tugarin Zmey,76,"['Oleg Kulikovich', 'Liya Medvedeva', 'Dmitriy Vysotskiy']",['Konstantin Bronzit'],Not found,Alyosha Popovich and Tugarin the Snake,0,"['Animation', 'Comedy', 'Family', 'Musical', 'Romance']","$4,000,000
            ",Not found,"$1,732,414",,23 December 2004 (Russia)
2024,2024,Young People,79,"['Shirley Temple', 'Jack Oakie', 'Charlotte Greenwood']",['Allan Dwan'],"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",Gente Nova,0,"['Drama', 'Musical']",Not found,Not found,Not found,Approved,30 August 1940 (USA)
2025,2025,Dil Ne Phir Yaad Kiya,Not found,"['Govinda', 'Tabu', 'Faraaz Khan']",['Rajat Rawail'],Not found,Not found,0,"['Drama', 'Musical', 'Romance', 'Thriller']",Not found,Not found,Not found,,Not found
2026,2026,"Ó Pai, Ó: Look at This",96,"['Lázaro Ramos', 'Dira Paes', 'Wagner Moura']",['Monique Gardenberg'],"Pelourinho, Salvador, Bahia, Brazil","Ó Pai, Ó: Look at This",0,"['Comedy', 'Musical']",Not found,Not found,"$1,519,302",,30 March 2007 (Brazil)
2027,2027,Thin Ice,79,"['Sonja Henie', 'Tyrone Power', 'Arthur Treacher']",['Sidney Lanfield'],"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",Le Prince X,1,"['Comedy', 'Musical', 'Romance']",Not found,Not found,Not found,Passed,3 September 1937 (USA)
2028,2028,Sommer i Tyrol,99,"['Dirch Passer', 'Susse Wold', 'Lone Hertz']",['Erik Balling'],"Salzkammergut, Austria",Summer in Tyrol,0,"['Comedy', 'Musical']",Not found,Not found,Not found,,25 September 1964 (Denmark)
2029,2029,Ordinary,150,"['Kunchacko Boban', 'Biju Menon', 'Shritha Sivadas']",['Sugeeth'],Not found,Not found,0,"['Comedy', 'Drama', 'Musical']",Not found,Not found,Not found,,17 March 2012 (India)
2030,2030,36 Questions - IMDb</title>,Not found,Not found,Not found,Not found,Not found,0,"['director: {', '@type: Person', 'url: /name/nm1417640/', 'name: Brett Haley', '}', 'creator: [', '{', '@type: Person', 'url: /name/nm3534399/', 'name: Zack Akers', '}', '{', '@type: Person', 'url: /name/nm5303256/', 'name: Marc Basch', '}', '{', '@type: Person', 'url: /name/nm10310000/', 'name: Skip Bronkie', '}', '{', '@type: Person', 'url: /name/nm1417640/', 'name: Brett Haley', '}', '{', '@type: Person', 'url: /name/nm11630739/', 'name: Chris Littler', '}', '{', '@type: Person', 'url: /name/nm11630738/', 'name: Ellen Winter', '}', '{', '@type: Organization', 'url: /company/co0323227/', '}', '{', '@type: Organization', 'url: /company/co0286257/', '}', '{', '@type: Organization', 'url: /company/co0670857/', '}', '{', '@type: Organization', 'url: /company/co0650527/', '}', '{', '@type: Organization', 'url: /company/co0725437/', '}']",Not found,Not found,Not found,,Not found
2031,2031,Rhythm Serenade,87,"['Vera Lynn', 'Peter Murray-Hill', 'Julien Mitchell']",['Gordon Wellesley'],"Riverside Studios, Hammersmith, London, England, UK",Not found,0,"['Drama', 'Musical', 'Romance']",Not found,Not found,Not found,,11 October 1943 (UK)
2032,2032,I've Always Loved You,117,"['Philip Dorn', 'Catherine McLeod', 'Bill Carter']",['Frank Borzage'],"Republic Studios - 4024 Radford Avenue, North Hollywood, Los Angeles, California, USA",Concerto,0,"['Drama', 'Musical', 'Romance']",Not found,Not found,Not found,Approved,2 December 1946 (USA)
2033,2033,Somewhere in East London,Not found,"['Manasseh', 'Shadrach Agozino', 'Leah']",['Manasseh'],Not found,Not found,0,"['Comedy', 'Drama', 'Music', 'Musical']",Not found,Not found,Not found,,2021 (UK)
2034,2034,Swathi Kiranam,130,"['Master Manjunath', 'Radhika Sarathkumar', 'Mammootty']",['K. Viswanath'],Not found,Pranavam,0,"['Drama', 'Musical']",Not found,Not found,Not found,,5 October 1992 (India)
2035,2035,Chhalia,112,"['Raj Kapoor', 'Nutan', 'Pran']",['Manmohan Desai'],Not found,Чaлия,0,"['Musical', 'Romance']",Not found,Not found,Not found,,Not found
2036,2036,Call Me Mister,96,"['Betty Grable', 'Dan Dailey', 'Danny Thomas']",['Lloyd Bacon'],"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",Amores de Tokio,0,"['contentRating: Approved', 'actor: [', '{', '@type: Person', 'url: /name/nm0002107/', 'name: Betty Grable', '}', '{', '@type: Person', 'url: /name/nm0197314/', 'name: Dan Dailey', '}', '{', '@type: Person', 'url: /name/nm0858683/', 'name: Danny Thomas', '}', '{', '@type: Person', 'url: /name/nm0731783/', 'name: Dale Robertson', '}']","$1,900,000
            ",Not found,Not found,Approved,8 April 1951 (UK)
2037,2037,Night Thoughts,52,"['Paul Dewdney', 'Jane Synnott', 'Gabriel Trimble']",['Roger Sargent'],Not found,Suede: Night Thoughts,0,"['Drama', 'Musical']",Not found,Not found,Not found,,13 November 2015 (UK)
2038,2038,Apna Sapna Money Money,134,"['Ashok Choudhary', 'Bobby Darling', 'Deena']",['Sangeeth Sivan'],Not found,Wer träumt nicht vom großen Geld?,0,"['Comedy', 'Musical', 'Romance']",Not found,Not found,"$5,065,960",Not Rated,10 November 2006 (India)
2039,2039,My Fair Lady - IMDb</title>,Not found,Not found,Not found,Not found,Not found,0,"['Drama', 'Musical', 'Romance']",Not found,Not found,Not found,,Not found
2040,2040,The Amorous Adventures of Don Quixote and Sancho Panza,104,"['Corey John Fisher', 'Hy Pyke', 'Shmuel Livneh']",['Raphael Nussbaum'],Not found,The Erotic Adventures of Don Quixote,0,"['Comedy', 'Musical']",Not found,Not found,Not found,R,April 1976 (USA)
2041,2041,The Big Broadcast,80,"['Stuart Erwin', 'Bing Crosby', 'Leila Hyams']",['Frank Tuttle'],"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",The Crooners,0,"['Comedy', 'Musical', 'Romance']",Not found,Not found,Not found,Passed,14 October 1932 (USA)
2042,2042,Follow the Boys,95,"['Connie Francis', 'Paula Prentiss', 'Dany Robin']",['Richard Thorpe'],"Cannes, Alpes-Maritimes, France",Follow the Boys,0,"['Comedy', 'Musical', 'Romance']",Not found,Not found,Not found,Not Rated,28 March 1963 (South Africa)
2043,2043,Boris Godounov,118,"['Ruggero Raimondi', 'Kenneth Riegel', 'Bernard Lefort']",['Andrzej Zulawski'],Not found,Boris Godunov,0,"['Musical', 'Drama']",Not found,Not found,Not found,,20 December 1989 (France)
2044,2044,Hot Dogs: Wau - wir sind reich!,84,"['Michael Chevalier', 'Thomas Danneberg', 'Nina Hagen']",['Michael Schoemann'],Not found,Millionaire Dogs,0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Musical', 'Romance']",Not found,Not found,Not found,Not Rated,1 April 1999 (Germany)
2045,2045,Can't Help Singing,90,"['Deanna Durbin', 'Robert Paige', 'Akim Tamiroff']",['Frank Ryan'],"Duck Creek, Kanab, Utah, USA",Caroline,2,"['Musical', 'Western']",Not found,Not found,Not found,Passed,29 December 1944 (USA)
2046,2046,Haajar Bachhar Dhorey,137,"['Riaz', 'Sharmin Zoha Shoshee', 'A.T.M. Shamsuzzaman']",['Suchanda'],Bangladesh,Symphony of Agony,0,"['Comedy', 'Drama', 'Family', 'Musical', 'Romance']",Not found,Not found,Not found,,8 July 2005 (Bangladesh)
2047,2047,Those Redheads from Seattle,90,"['Rhonda Fleming', 'Gene Barry', 'Agnes Moorehead']",['Lewis R. Foster'],"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",Those Redheads from Seattle,0,"['Musical', 'Western']",Not found,Not found,Not found,Approved,16 October 1953 (USA)
2048,2048,Monte Carlo,90,"['Jeanette MacDonald', 'Jack Buchanan', 'Claud Allister']",['Ernst Lubitsch'],Not found,Monte-Carlo,0,"['Comedy', 'Musical', 'Romance']","$726,465
            ",Not found,Not found,Passed,27 August 1930 (USA)
2049,2049,Mera Pind: My Home,165,"['Harbhajan Mann', 'Navjot Singh Sidhu', 'Kimi Verma']",['Manmohan Singh'],Not found,Not found,0,"['Comedy', 'Drama', 'Musical', 'Romance']",Not found,"$176,976","$630,370",,20 September 2008 (India)
2050,2050,Little Miss Puppet,Not found,"['Jackson Anthony', 'Kushenya Fonseka', 'Lakshika Deshan']","['Kalpana Ariyawansa', 'Vindana Ariyawansa']","Bentota Beach, Sri Lanka",Rookada Panchi,0,"['Drama', 'Family', 'Musical']",Not found,Not found,Not found,,24 September 2020 (Sri Lanka)
2051,2051,Zero Patience,97,"['John Robinson', 'Normand Fauteux', 'Dianne Heatherington']",['John Greyson'],"City Hall, Mississauga, Ontario, Canada",Zero Patience,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0732758/', 'name: John Robinson', '}', '{', '@type: Person', 'url: /name/nm0269302/', 'name: Normand Fauteux', '}', '{', '@type: Person', 'url: /name/nm0372748/', 'name: Dianne Heatherington', '}', '{', '@type: Person', 'url: /name/nm0444784/', 'name: Richardo Keens-Douglas', '}']",Not found,"$217,300","$217,300",,5 August 1994 (UK)
2052,2052,Indriyam,127,"['Boban Alumoodan', 'Azeez', 'Devan']",['George Kithu'],Not found,Not found,0,"['Horror', 'Musical']",Not found,Not found,Not found,Not Rated,Not found
2053,2053,Knickerbocker Holiday,85,"['Nelson Eddy', 'Charles Coburn', 'Constance Dowling']",['Harry Joe Brown'],Not found,A Cidade Que Dança,1,"['Comedy', 'History', 'Musical']",Not found,Not found,Not found,Approved,17 March 1944 (USA)
2054,2054,Minnaram,150,"['Mohanlal', 'Shobana', 'Thilakan']",['Priyadarshan'],Not found,Not found,0,"['Comedy', 'Drama', 'Musical']",Not found,Not found,Not found,,Not found
2055,2055,The Chocolate Soldier,102,"['Nelson Eddy', 'Risë Stevens', 'Nigel Bruce']",['Roy Del Ruth'],"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",El soldado de chocolate,3,"['Comedy', 'Family', 'Musical']",Not found,Not found,Not found,Passed,November 1941 (USA)
2056,2056,Every Day's a Holiday,80,"['Mae West', 'Edmund Lowe', 'Charles Butterworth']",['A. Edward Sutherland'],"General Service Studios - 1040 N. Las Palmas, Hollywood, Los Angeles, California, USA",Fifi Peau de Pêche,1,"['Comedy', 'Musical']",Not found,Not found,Not found,Approved,18 December 1937 (USA)
2057,2057,Anna Karenina Musical,132,"['Andrey Alexandrin', 'Karine Asiryan', 'Olga Belyaeva']",['Yeji Shin'],Not found,Анна Каренина. Мюзикл,0,"['actor: [', '{', '@type: Person', 'url: /name/nm10570111/', 'name: Andrey Alexandrin', '}', '{', '@type: Person', 'url: /name/nm10570112/', 'name: Karine Asiryan', '}', '{', '@type: Person', 'url: /name/nm10570110/', 'name: Olga Belyaeva', '}', '{', '@type: Person', 'url: /name/nm3079083/', 'name: Andrey Birin', '}']","$222,084
            ",Not found,Not found,,15 November 2018 (USA)
2058,2058,First a Girl,78,"['Jessie Matthews', 'Sonnie Hale', 'Anna Lee']",['Victor Saville'],"Gaumont British Studios, Northolt, England, UK",Mulher Antes de Tudo,0,"['Comedy', 'Musical']",Not found,Not found,Not found,Not Rated,31 December 1935 (USA)
2059,2059,Goldilocks and the Three Bares,69,"['Rex Marlow', 'Louise Downe', 'William Kerwin']",['Herschell Gordon Lewis'],"Coral Gables, Florida, USA",Singing in the Sun,0,"['Comedy', 'Musical']","$25,000
            ",Not found,Not found,,6 September 1963 (USA)
2060,2060,The King Steps Out,85,"['Franchot Tone', 'Grace Moore', 'Walter Connolly']",['Josef von Sternberg'],Not found,Sissy,0,"['Comedy', 'Musical', 'Romance']",Not found,Not found,Not found,,28 May 1936 (USA)
2061,2061,Leave It on the Floor,105,"['Ephraim Sykes', 'Andre Myers', 'Phillip Evelyn']",['Sheldon Larry'],"Los Angeles, California, USA",Not found,0,"['Comedy', 'Drama', 'Musical', 'Romance']",Not found,Not found,"$6,965",Not Rated,3 August 2012 (UK)
2062,2062,Palki,160,"['Rajendra Kumar', 'Waheeda Rehman', 'Rehman']","['Mahesh Kaul', 'S.U. Sunny']","K. Asif Studios, Andheri, Mumbai, Maharashtra, India",Not found,0,"['Drama', 'Family', 'Musical']",Not found,Not found,Not found,,Not found
2063,2063,Boum sur Paris,95,"['Édith Piaf', 'Jacques Pills', 'Mick Micheyl']",['Maurice de Canonge'],Not found,Ići ćemo u Pariz,0,"['Comedy', 'Musical']",Not found,Not found,Not found,,November 1953 (France)
2064,2064,Shut up Sona,85,Not found,['Deepti Gupta'],Not found,Not found,0,"['Documentary', 'Musical']",Not found,Not found,Not found,,29 January 2020 (Netherlands)
2065,2065,Love in a Goldfish Bowl,88,"['Tommy Sands', 'Fabian', 'Toby Michaels']",['Jack Sher'],"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA","Blond, süß und sehr naiv",0,"['Comedy', 'Musical', 'Romance']",Not found,Not found,Not found,Not Rated,1 October 1961 (Japan)
2066,2066,Tiny Heroes,78,"['Aaron Bybee', 'Laura Schulthies', 'Joey Lopez']","['József Gémes', 'Jenõ Koltai']",Not found,Tiny Heroes,0,"['Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",Not found,Not found,Not found,Not Rated,1997 (USA)
2067,2067,Novye Bremenskiye,56,"['Nadezhda Babkina', 'Anton Bizeyev', 'Mikhail Boyarskiy']",['Aleksandr Gorlenko'],Not found,Novye Bremenskiye,0,"['Animation', 'Family', 'Musical', 'Fantasy']",Not found,Not found,Not found,Not Rated,24 May 2000 (Russia)
2068,2068,Torch Singer,71,"['Claudette Colbert', 'Ricardo Cortez', 'David Manners']","['Alexander Hall', 'George Somnes']","Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",Torch Singer,0,"['Drama', 'Musical', 'Romance']",Not found,Not found,Not found,Passed,8 September 1933 (USA)
2069,2069,Sawan Ko Aane Do,153,"['Rita Bhaduri', 'Arun Govil', 'Jankidas']",['Kanak Mishra'],Not found,Saawan Ko Aane Do,0,"['Musical', 'Drama', 'Romance', 'Family']",Not found,Not found,Not found,Not Rated,Not found
2070,2070,Dancing in the Dark,92,"['William Powell', 'Mark Stevens', 'Betsy Drake']",['Irving Reis'],"Behind scenes, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",Chanson dans la nuit,0,"['Comedy', 'Musical', 'Romance']",Not found,Not found,Not found,Approved,22 March 1950 (Mexico)
2071,2071,Chandralekha,193,"['Rajkumari', 'M.K. Radha', 'Ranjan']",['S.S. Vasan'],Not found,Not found,0,"['Drama', 'History', 'Musical', 'Romance', 'War']",Not found,Not found,Not found,,18 June 1978 (USA)
2072,2072,Banaras,122,"['Urmila Matondkar', 'Ashmit Patel', 'Dimple Kapadia']",['Pankaj Parashar'],"Banaras Hindu University - BHU, Varanasi, Uttar Pradesh, India",Banaras: A Mystic Love Story,0,"['Musical', 'Drama']",Not found,Not found,Not found,,7 April 2006 (India)
2073,2073,The Confrontation,80,"['Andrea Drahota', 'Kati Kovács', 'Lajos Balázsovits']",['Miklós Jancsó'],"Veszprém, Hungary",The Confrontation,0,"['Drama', 'Musical']",Not found,Not found,Not found,,6 February 1969 (Hungary)
2074,2074,Shaadi Se Pehle,122,"['Akshaye Khanna', 'Ayesha Takia', 'Mallika Sherawat']",['Satish Kaushik'],Not found,Liebe mit Tricks,0,"['Comedy', 'Musical', 'Romance']",Not found,"$111,678","$331,676",Not Rated,7 April 2006 (India)
2075,2075,Im weissen Rössl,103,"['Peter Alexander', 'Waltraut Haas', 'Karin Dor']",['Werner Jacobs'],"Bergland-Filmatelier, Wels, Upper Austria, Austria",El albergue del caballito blanco,0,"['Comedy', 'Musical', 'Romance']",Not found,Not found,Not found,,20 December 1960 (West Germany)
2076,2076,Double Crossbones,76,"[""Donald O'Connor"", 'Helena Carter', 'Will Geer']",['Charles Barton'],"European Street, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA","Pitos, flautas y piratas",0,"['Adventure', 'Comedy', 'History', 'Musical', 'Romance']",Not found,Not found,Not found,Approved,22 June 1951 (UK)
2077,2077,College Holiday,86,"['Jack Benny', 'George Burns', 'Gracie Allen']",['Frank Tuttle'],"Four Seasons Resort The Biltmore Santa Barbara - 1260 Channel Drive, Santa Barbara, California, USA",Alegria a Solta,0,"['Adventure', 'Comedy', 'Musical', 'Romance']",Not found,Not found,Not found,Approved,19 December 1936 (USA)
2078,2078,Shikaar,Not found,"['Jaz Pandher', 'Danny Denzongpa', 'Kanishkaa Kapoor']",['Darshan Bagga'],Not found,Not found,0,"['Action', 'Musical', 'Thriller']",Not found,Not found,Not found,,2 July 2004 (India)
2079,2079,Sepia Cinderella,70,"['Billy Daniels', 'Sheila Guyse', 'Tondaleyo']",['Arthur H. Leonard'],"New York City, New York, USA",Not found,0,"['Comedy', 'Musical']",Not found,Not found,Not found,Approved,25 July 1947 (USA)
2080,2080,From Here to Eternity: The Musical,155,"['Robert Lonsdale', 'Siubhan Harrison', 'Darius Campbell']","['Tamara Harvey', 'Nick Morris']","Shaftesbury Theatre, Shaftesbury Avenue, London, England, UK",From Here to Eternity: The Musical,0,"['actor: [', '{', '@type: Person', 'url: /name/nm1573210/', 'name: Robert Lonsdale', '}', '{', '@type: Person', 'url: /name/nm1913110/', 'name: Siubhan Harrison', '}', '{', '@type: Person', 'url: /name/nm0199421/', 'name: Darius Campbell', '}', '{', '@type: Person', 'url: /name/nm0861466/', 'name: Rebecca Thornhill', '}']",Not found,Not found,Not found,,2 October 2014 (USA)
2081,2081,Ci troviamo in galleria,91,"['Nilla Pizzi', 'Carlo Dapporto', 'Sophia Loren']",['Mauro Bolognini'],"Cinecittà Studios, Cinecittà, Rome, Lazio, Italy",A Bela Napolitana,0,"['Musical', 'Comedy']",Not found,Not found,Not found,,1957 (France)
2082,2082,Gramaphone,145,"['Dileep', 'Meera Jasmine', 'Navya Nair']",['Kamal'],Not found,Not found,0,"['Comedy', 'Drama', 'Musical', 'Family', 'Romance']",Not found,Not found,Not found,Not Rated,23 May 2003 (India)
2083,2083,I Pariziana,91,"['Rena Vlahopoulou', 'Hronis Exarhakos', 'Vagelis Seilinos']",['Giannis Dalianidis'],"Agioi Anargyroi, Attica, Greece",The Parisian,0,"['Comedy', 'Musical']",Not found,Not found,Not found,,22 December 1969 (Greece)
