,Unnamed: 0,Unnamed: 0.1,title,FILM_runtime,FILM_stars,FILM_directors,FILM_filming_locations,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres.1,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_weekly_gross,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_release_year,FILM_mpaa_rating_number,GENRE_1,GENRE_2,GENRE_3,GENRE_4,GENRE_5,GENRE_Action,GENRE_Adventure,GENRE_Animation,GENRE_Biography,GENRE_Comedy,GENRE_Crime,GENRE_Documentary,GENRE_Drama,GENRE_Family,GENRE_Fantasy,GENRE_Horror,GENRE_Music,GENRE_Musical,GENRE_Mystery,GENRE_Romance,GENRE_Sport,GENRE_Thriller,GENRE_War,GENRE_Western
126,5139,5139,Nine,118.0,"['Daniel Day-Lewis', 'Marion Cotillard', 'Penélope Cruz']",['Rob Marshall'],Italy,Untitled Rob Marshall Project,4.0,"['Drama', 'Family', 'History', 'Musical']",80000000.0,19676965.0,54004950.0,3,25 December 2009,tt0308651,Nine,60,Documentary,24448759.0,24643302.0,283,23,2003-03-23,626891.2564102564,80.49410256410255,0.9419564102564104,197.23076923076923,1049.0,2009-01-01,3,Drama,Family,History,Musical,,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
127,17953,17953,No Man's Land,106.0,"['Charlie Sheen', 'D.B. Sweeney', 'Lara Harris']",['Peter Werner'],"Los Angeles, California, USA",No Man's Land,0.0,"['Drama', 'Musical', 'Romance']",8000000.0,2877571.0,2877571.0,4,23 October 1987,tt0009429,No Man's Land,\N,"Drama,War",1278139.0,0.0,61,22,1994-01-09,116194.45454545454,32.5,0.9418818181818184,,499.0,1987-01-01,4,Drama,Musical,Romance,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
128,26128,26128,November,73.0,"['Courteney Cox', 'James Le Gros', 'Michael Ealy']",['Greg Harrison'],"California, USA",November,0.0,"['Crime', 'Drama', 'Thriller']",1500000.0,192186.0,192186.0,4,18 January 2004,tt0368089,November,73,"Drama,Mystery,Thriller",11194646.0,20825981.0,205,33,2007-12-23,373154.8666666666,69.73299999999999,0.6357733333333332,244.63333333333333,1058.0,2004-01-01,4,Crime,Drama,Thriller,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
129,20195,20195,Of Mice and Men,115.0,"['John Malkovich', 'Gary Sinise', 'Ray Walston']",['Gary Sinise'],"Los Angeles, California, USA",Of Mice and Men,0.0,"['Drama', 'Mystery', 'Thriller']",,5471088.0,5471088.0,3,2 October 1992,tt0031742,Of Mice and Men,106,Drama,15938704.0,17558796.0,118,31,2014-03-23,838879.1578947369,102.62526315789472,0.971821052631579,223.0,1073.0,1992-01-01,3,Drama,Mystery,Thriller,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
130,5323,5323,Oh! Calcutta!,123.0,"['Raina Barrett', 'Mark Dempsey', 'Samantha Harper']",['Jacques Levy'],"New York City, New York, USA",Oh! Calcutta!,0.0,"['Drama', 'Western']",,405750.0,,0,June 1972,tt0069039,Oh! Calcutta!,123,"Comedy,Musical",9808991.0,0.0,2124,8,1985-06-09,44995.37155963303,14.767981651376147,0.6241532110091745,,499.0,1972-01-01,0,Drama,Western,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131,25490,25490,Oleanna,89.0,"['William H. Macy', 'Debra Eisenstadt', 'Diego Pineda']",['David Mamet'],"Massachusetts, USA",David Mamet's Oleanna,0.0,"['Comedy', 'Musical']",,124693.0,124693.0,0,4 November 1994,tt0110722,Oleanna,89,"Drama,Thriller",2177335.0,7028640.0,65,15,2009-10-04,217733.5,55.44,0.6221899999999999,200.0,801.2,1994-01-01,0,Comedy,Musical,,,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
132,24475,24475,On Golden Pond,109.0,"['Katharine Hepburn', 'Henry Fonda', 'Jane Fonda']",['Mark Rydell'],"Lake Winnipausakee, New Hampshire, USA",On Golden Pond,0.0,"['Drama', 'Thriller']",,119285432.0,119285432.0,2,12 February 1982,tt0082846,On Golden Pond,109,Drama,2947551.0,8246574.0,93,19,2005-03-27,210539.3571428572,53.84285714285714,0.4582071428571428,91.25,1067.0,1982-01-01,2,Drama,Thriller,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
133,5287,5287,On a Clear Day You Can See Forever,129.0,"['Barbra Streisand', 'Yves Montand', 'Bob Newhart']",['Vincente Minnelli'],"Exposition Park Rose Garden, 701 State Dr, Los Angeles, CA 90037, USA",On a Clear Day You Can See Forever,0.0,"['contentRating: PG', 'actor:', '{', '@type: Person', 'url: /name/nm0000031/', 'name: Katharine Hepburn', '}', '{', '@type: Person', 'url: /name/nm0000020/', 'name: Henry Fonda', '}', '{', '@type: Person', 'url: /name/nm0000404/', 'name: Jane Fonda', '}', '{', '@type: Person', 'url: /name/nm0571630/', 'name: Doug McKeon', '}']",10000000.0,14000000.0,14000000.0,1,17 June 1970,tt0066181,On a Clear Day You Can See Forever,129,"Comedy,Drama,Fantasy",7253179.0,14823145.0,57,29,2011-11-13,604431.5833333335,83.49500000000002,0.7659416666666669,295.25,1367.0,1970-01-01,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,23847,23847,Once,86.0,"['Glen Hansard', 'Markéta Irglová', 'Hugh Walsh']",['John Carney'],"Mountjoy Square East, Dublin, Ireland",Once,0.0,"['Comedy', 'Drama', 'Fantasy', 'Musical', 'Romance']",150000.0,9439923.0,20936722.0,4,15 June 2007,tt0071941,Once,100,Fantasy,110306780.0,151660664.0,1168,23,2012-03-04,740313.9597315438,100.04979865771816,0.858258389261745,223.85135135135133,1058.6241610738257,2007-01-01,4,Comedy,Drama,Fantasy,Musical,Romance,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0
135,24136,24136,One Flew Over the Cuckoo's Nest,133.0,"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman']",['Milos Forman'],"Depoe Bay, Oregon, USA",One Flew Over the Cuckoo's Nest,0.0,"['Drama', 'Music', 'Romance']",3000000.0,108981275.0,108997629.0,4,19 November 1975,tt0073486,One Flew Over the Cuckoo's Nest,133,Drama,6477718.0,9349229.0,121,24,2001-03-18,323885.9,53.29749999999999,0.8118650000000001,76.25,1041.3,1975-01-01,4,Drama,Music,Romance,,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
