,Unnamed: 0,title,FILM_runtime,FILM_stars,FILM_directors,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres.1,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_release_year,FILM_mpaa_rating_number,BWAY_relative_gross,GENRE_1,GENRE_2,GENRE_3,GENRE_4,GENRE_5,0,GENRE_Action,GENRE_Adventure,GENRE_Animation,GENRE_Biography,GENRE_Comedy,GENRE_Crime,GENRE_Documentary,GENRE_Drama,GENRE_Family,GENRE_Fantasy,GENRE_Horror,GENRE_Music,GENRE_Musical,GENRE_Mystery,GENRE_Romance,GENRE_Sport,GENRE_Thriller,GENRE_War,GENRE_Western
594,594.0,True West,107.0,"['Bruce Willis', 'Chad Smith', 'Andrew Alburger']",['Gary Halvorson'],True West,0.0,"['actor:', '{', '@type: Person', 'url: /name/nm0000246/', 'name: Bruce Willis', '}', '{', '@type: Person', 'url: /name/nm1222836/', 'name: Chad Smith', '}', '{', '@type: Person', 'url: /name/nm0017085/', 'name: Andrew Alburger', '}', '{', '@type: Person', 'url: /name/nm0447981/', 'name: Danielle Kennedy', '}']",15388087.985309046,33634047.60958286,61135893.42029704,0.0,12 August 2002,tt0328719,True West,107,"['actor: [', '{', '@type: Person', 'url: /name/nm0000246/', 'name: Bruce Willis', '}', '{', '@type: Person', 'url: /name/nm1222836/', 'name: Chad Smith', '}', '{', '@type: Person', 'url: /name/nm0017085/', 'name: Andrew Alburger', '}', '{', '@type: Person', 'url: /name/nm0447981/', 'name: Danielle Kennedy', '}']",10922724.9,15330512.0,215.0,51.0,2000-02-20 00:00:00,64.39472222222221,0.8840777777777773,160.68055555555554,666.0555555555555,2002-01-01 00:00:00,0.0,0.7124827207336584,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,595.0,Truly Blessed,102.82181781586786,"['Vanessa Bell Calloway', 'Rodney Perry', 'Lakrishi Kindred']",['Jerry Jackson'],Not found,0.0,"['actor:', '{', '@type: Person', 'url: /name/nm0068599/', 'name: Vanessa Bell Calloway', '}', '{', '@type: Person', 'url: /name/nm1351490/', 'name: Rodney Perry', '}', '{', '@type: Person', 'url: /name/nm1978997/', 'name: Lakrishi Kindred', '}', '{', '@type: Person', 'url: /name/nm2161732/', 'name: Serena Lorien', '}']",400000.0,15417856.079523053,10392403.817587445,0.0,April 2009,tt1274277,Truly Blessed,\N,"['actor: [', '{', '@type: Person', 'url: /name/nm0068599/', 'name: Vanessa Bell Calloway', '}', '{', '@type: Person', 'url: /name/nm1351490/', 'name: Rodney Perry', '}', '{', '@type: Person', 'url: /name/nm1978997/', 'name: Lakrishi Kindred', '}', '{', '@type: Person', 'url: /name/nm2161732/', 'name: Serena Lorien', '}']",324829.0,0.0,33.0,12.0,1990-04-15 00:00:00,19.621666666666666,0.3436,,1096.0,2009-01-01 00:00:00,0.0,inf,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596,596.0,Tuck Everlasting,90.0,"['Alexis Bledel', 'Jonathan Jackson', 'Sissy Spacek']",['Jay Russell'],Tuck Everlasting,0.0,"['Drama', 'Family', 'Fantasy', 'Romance']",15000000.0,19161999.0,19344615.0,2.0,11 October 2002,tt0081664,Tuck Everlasting,90,"['Drama', 'Family', 'Fantasy', 'Romance']",2943941.64,9038632.75,39.0,28.0,2016-04-03 00:00:00,50.55333333333334,0.7694444444444446,223.0,1161.0,2002-01-01 00:00:00,2.0,0.3257065223719815,Drama,Family,Fantasy,Romance,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
597,597.0,Twelfth Night,166.0,"['Sheila Atim', 'Antony Bunsee', 'Shalini Peiris']",['Adam Smethurst'],Not found,0.0,"['Comedy', 'Drama', 'Romance']",15431765.658247644,30983552.542611685,57264819.4516641,0.0,25 October 2018,tt0072329,Twelfth Night,120,"['Comedy', 'Drama', 'Romance']",4048409.0,3229050.0,69.0,30.0,1997-09-07 00:00:00,42.95615384615384,0.8786307692307691,65.0,1094.3846153846157,2018-01-01 00:00:00,0.0,1.2537461482479366,Comedy,Drama,Romance,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
598,598.0,Twentieth Century,91.0,"['John Barrymore', 'Carole Lombard', 'Walter Connolly']",['Howard Hawks'],20th Century,0.0,"['Comedy', 'Romance']",5314305.119306218,12319867.123200368,9800.0,0.0,11 May 1934,tt0025919,Twentieth Century,91,"['Comedy', 'Romance']",3869161.0,4859740.0,84.0,27.0,2004-03-07 00:00:00,53.529285714285706,0.8816071428571426,86.25,740.0,1934-01-01 00:00:00,0.0,0.7961662558079239,Comedy,Romance,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
599,599.0,Uncle Vanya,120.0,"['Michael Redgrave', 'Robert Lang', 'Max Adrian']",['Stuart Burge'],Vanja-eno,1.0,"['actor:', '{', '@type: Person', 'url: /name/nm0714878/', 'name: Michael Redgrave', '}', '{', '@type: Person', 'url: /name/nm0485894/', 'name: Robert Lang', '}', '{', '@type: Person', 'url: /name/nm0012451/', 'name: Max Adrian', '}', '{', '@type: Person', 'url: /name/nm0144348/', 'name: Lewis Casson', '}']",15273428.927138975,31881221.7058692,57493408.77623962,0.0,20 November 1963,tt0052335,Uncle Vanya,98,"['actor: [', '{', '@type: Person', 'url: /name/nm0714878/', 'name: Michael Redgrave', '}', '{', '@type: Person', 'url: /name/nm0485894/', 'name: Robert Lang', '}', '{', '@type: Person', 'url: /name/nm0012451/', 'name: Max Adrian', '}', '{', '@type: Person', 'url: /name/nm0144348/', 'name: Lewis Casson', '}']",2788589.0,5645502.0,78.0,52.0,1995-02-05 00:00:00,32.065882352941166,0.6735529411764706,65.0,894.7647058823529,1963-01-01 00:00:00,0.0,0.4939488109294798,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,600.0,Urban Cowboy,132.0,"['John Travolta', 'Debra Winger', 'Scott Glenn']",['James Bridges'],The Urban Cowboy,2.0,"['Drama', 'Romance', 'Western']",12739713.83908774,46918287.0,46918287.0,2.0,6 June 1980,tt0081696,Urban Cowboy,132,"['Drama', 'Romance', 'Western']",1288667.0,8361853.0,60.0,26.0,2003-03-02 00:00:00,54.28416666666667,0.2361166666666667,96.25,1160.0,1980-01-01 00:00:00,2.0,0.15411261116405658,Drama,Romance,Western,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
601,601.0,Venus in Fur,101.71164306944166,"['Roger Gilden', 'Meera Sinroja']",['Renee Yi'],Not found,0.0,"['actor:', '{', '@type: Person', 'url: /name/nm6493964/', 'name: Roger Gilden', '}', '{', '@type: Person', 'url: /name/nm8726072/', 'name: Meera Sinroja', '}']",10.0,19750681.6159824,15709672.670193322,0.0,Not found,tt6895758,Venus in Fur,\N,"['actor: [', '{', '@type: Person', 'url: /name/nm6493964/', 'name: Roger Gilden', '}', '{', '@type: Person', 'url: /name/nm8726072/', 'name: Meera Sinroja', '}']",9550145.0,19419645.0,191.0,37.0,2011-10-16 00:00:00,76.0786206896552,0.7417896551724139,200.0,756.551724137931,1984-01-01 00:00:00,0.0,0.4917775273440889,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,602.0,Via Dolorosa,104.59656221956564,"['Fred Montilla', 'Rita Gomez', 'Aruray']",['Conrado Conde'],Not found,0.0,"['actor:', '{', '@type: Person', 'url: /name/nm1346951/', 'name: Fred Montilla', '}', '{', '@type: Person', 'url: /name/nm0327079/', 'name: Rita Gomez', '}', '{', '@type: Person', 'url: /name/nm1393028/', 'name: Aruray', '}', '{', '@type: Person', 'url: /name/nm0282767/', 'name: Bella Flores', '}']",15264665.196570706,31608968.08142332,56995859.85858992,0.0,9 April 1956,tt0226591,Via Dolorosa,99,"['actor: [', '{', '@type: Person', 'url: /name/nm1346951/', 'name: Fred Montilla', '}', '{', '@type: Person', 'url: /name/nm0327079/', 'name: Rita Gomez', '}', '{', '@type: Person', 'url: /name/nm1393028/', 'name: Aruray', '}', '{', '@type: Person', 'url: /name/nm0282767/', 'name: Bella Flores', '}']",1751272.0,4247196.0,99.0,15.0,1999-03-07 00:00:00,30.65333333333334,0.6338266666666665,55.0,765.0,1956-01-01 00:00:00,0.0,0.4123360447693019,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,603.0,Vincent in Brixton,135.0,"['Richard Eyre', 'Emma Handy', 'Clare Higgins']","['Humphrey Burton', 'Richard Eyre']",Not found,0.0,"['Biography', 'Drama']",15271111.886914585,31610158.094943427,57046360.19736652,0.0,20 March 2003,tt1130084,Vincent in Brixton,135,"['Biography', 'Drama']",1915989.0,4328402.0,69.0,23.0,2003-02-16 00:00:00,37.74666666666667,0.6788083333333335,71.14583333333333,796.0,2003-01-01 00:00:00,0.0,0.442655049138227,Biography,Drama,,,,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
604,604.0,Violet,105.0,"['Mary Walsh', 'Peter MacNeill', 'Andrew Younghusband']",['Rosemary House'],Not found,0.0,"['actor:', '{', '@type: Person', 'url: /name/nm0909763/', 'name: Mary Walsh', '}', '{', '@type: Person', 'url: /name/nm0534132/', 'name: Peter MacNeill', '}', '{', '@type: Person', 'url: /name/nm0950259/', 'name: Andrew Younghusband', '}', '{', '@type: Person', 'url: /name/nm0448861/', 'name: Susan Kent', '}']",15157328.505163707,34120466.93190625,60166602.78417355,0.0,27 August 2000,tt0229830,Violet,\N,"['actor: [', '{', '@type: Person', 'url: /name/nm0909763/', 'name: Mary Walsh', '}', '{', '@type: Person', 'url: /name/nm0534132/', 'name: Peter MacNeill', '}', '{', '@type: Person', 'url: /name/nm0950259/', 'name: Andrew Younghusband', '}', '{', '@type: Person', 'url: /name/nm0448861/', 'name: Susan Kent', '}']",6616618.0,14941231.0,128.0,27.0,2014-03-30 00:00:00,70.00400000000002,0.836065,,733.65,2000-01-01 00:00:00,0.0,0.4428428956088023,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
